scenario,wip_pieces,incentive_bdt,mean_productivity_uplift,pi80_lower,pi80_upper
Low WIP,0.0,54.0,-0.004354656666589887,-0.11666046740821873,0.10826980839012998
Low WIP,0.0,55.0,6.119579409226033e-05,-0.1125285789767,0.11368159593128198
Low WIP,0.0,56.0,0.0045621146627348895,-0.10792446999292463,0.11906635263893393
Low WIP,0.0,57.0,0.009143482349232674,-0.10344180304721586,0.12443181585477037
Low WIP,0.0,58.0,0.01380065078669745,-0.09929166373687795,0.1296297032440485
Low WIP,0.0,59.0,0.01852889730346598,-0.09502032420339165,0.13465513747225394
Low WIP,0.0,60.0,0.023323481360447693,-0.09015521156946842,0.1392405434435313
Low WIP,0.0,61.0,0.028179657874399463,-0.08599658557489678,0.14474941397597596
Low WIP,0.0,62.0,0.033092514583629294,-0.08148721049065867,0.15018070843572207
Low WIP,0.0,63.0,0.03805331902672654,-0.07658543577853921,0.15513779859901633
Low WIP,0.0,64.0,0.04304986659631383,-0.07229630286746627,0.1598624894136037
Low WIP,0.0,65.0,0.04807067097913582,-0.06709751524318663,0.16481126222268
Low WIP,0.0,66.0,0.053105169398402756,-0.062037606793944586,0.1699472944890548
Low WIP,0.0,67.0,0.058143671671126475,-0.0570147750379242,0.17443490776543147
Low WIP,0.0,68.0,0.0631772373199544,-0.051494383519687124,0.17913006938296303
Low WIP,0.0,69.0,0.06819772381018373,-0.04591314325716714,0.184522339460984
Low WIP,0.0,70.0,0.07319764741968487,-0.04029592054711327,0.1899033951835964
Low WIP,0.0,71.0,0.07817021327982232,-0.035496187933256804,0.19480479672623757
Low WIP,0.0,72.0,0.0831092332453681,-0.031077415525964668,0.20010353703056755
Low WIP,0.0,73.0,0.08800907512844773,-0.025582611745792908,0.20417710722567894
Low WIP,0.0,74.0,0.09286469854326275,-0.020498388482951747,0.2087138094581326
Low WIP,0.0,75.0,0.0976715113016398,-0.015178191069447976,0.21335669456462622
Low WIP,0.0,76.0,0.10242544279710955,-0.010254145528768027,0.21856168067765464
Low WIP,0.0,77.0,0.1071228392339333,-0.005795825377110441,0.2234653930479114
Low WIP,0.0,78.0,0.11176045207018813,-0.0011836975873612764,0.2288509097309817
Low WIP,0.0,79.0,0.11633547641358644,0.0037328363077748345,0.23255158507161186
Low WIP,0.0,80.0,0.12084538064586137,0.008275434566843189,0.23668053614581097
Low WIP,0.0,81.0,0.12528804238218788,0.013375195544515408,0.2404040766408964
Low WIP,0.0,82.0,0.1296616082740607,0.018378357788872247,0.2443330658998634
Low WIP,0.0,83.0,0.13396453505856507,0.022252661689905386,0.24851582987735052
Low WIP,0.0,84.0,0.13819553039098492,0.0269876860909104,0.25271958660555255
Low WIP,0.0,85.0,0.14235357632362428,0.030885664120389737,0.25725655219743127
Low WIP,0.0,86.0,0.1464378425090056,0.03496282763284607,0.26172268072766425
Low WIP,0.0,87.0,0.15044775172509586,0.039538100271219886,0.26574237504271614
Low WIP,0.0,88.0,0.15438287167467513,0.0441590839029629,0.2699593309302147
Low WIP,0.0,89.0,0.15824301707079966,0.0479016742009313,0.2733443286882123
Low WIP,0.0,90.0,0.16202810037523377,0.052005868149703705,0.27700547941695747
Low WIP,0.0,91.0,0.16573819767844436,0.05572368797376273,0.2818287280164717
Low WIP,0.0,92.0,0.169373549791318,0.05982680015039621,0.28553440914833583
Low WIP,0.0,93.0,0.17293450388898102,0.06263254144032145,0.2895047581159364
Low WIP,0.0,94.0,0.17642149055609155,0.06601495375253132,0.2934516906169585
Low WIP,0.0,95.0,0.17983508646594312,0.06956531110739174,0.2975909449344892
Low WIP,0.0,96.0,0.18317594009527507,0.07245142076528042,0.30189469060297697
Low WIP,0.0,97.0,0.18644475462739185,0.07584940136821657,0.3062758830726261
Low WIP,0.0,98.0,0.18964233329882227,0.07857549923035824,0.30959647528467077
Low WIP,0.0,99.0,0.19276956164300632,0.0816532086292729,0.31224191145682084
Low WIP,0.0,100.0,0.1958273384110043,0.08440603363362263,0.31525853198543835
Low WIP,0.0,101.0,0.1988166124487333,0.08755144152073614,0.3182980713864291
Low WIP,0.0,102.0,0.20173842346415374,0.09034801356223422,0.32090106938947444
Low WIP,0.0,103.0,0.2045938025578515,0.09326402771005188,0.32400871926917796
Low WIP,0.0,104.0,0.2073838295853695,0.09555451406700463,0.3269160240070841
Low WIP,0.0,105.0,0.21010960499369635,0.09820886040984352,0.3304087693500604
Low WIP,0.0,106.0,0.21277222546744198,0.1006275505491673,0.33324137214312227
Low WIP,0.0,107.0,0.21537287060882454,0.1033227078596826,0.33602237741661883
Low WIP,0.0,108.0,0.21791264418310807,0.10586293050603203,0.33906901944589607
Low WIP,0.0,109.0,0.22039274914351387,0.10862862406175074,0.34133993565579784
Low WIP,0.0,110.0,0.22281433058835823,0.11099867166626383,0.34353820820276304
Low WIP,0.0,111.0,0.22517854261343712,0.11347153210504239,0.3460299462511643
Low WIP,0.0,112.0,0.2274865648499908,0.11528046940847872,0.3489684120343781
Low WIP,0.0,113.0,0.22973955851968433,0.1175235799231016,0.35148206634171547
Low WIP,0.0,114.0,0.23193868909076656,0.11953476047168655,0.35449668529621625
Low WIP,0.0,115.0,0.23408510131742355,0.12127883725953378,0.35766021327907915
Low WIP,0.0,116.0,0.23617991989027742,0.12326415071831898,0.3603326111309308
Low WIP,0.0,117.0,0.23822428944356186,0.12460065477414066,0.3629225497349398
Low WIP,0.0,118.0,0.24021933246343197,0.12617093507147217,0.365036582289452
Low WIP,0.0,119.0,0.24216616880337052,0.12765124297863487,0.367278176633811
Low WIP,0.0,120.0,0.24406585666947764,0.12874021454738305,0.369448441924874
Low WIP,0.0,121.0,0.2459194898866159,0.13035401210204003,0.3711525670883751
Low WIP,0.0,122.0,0.24772813862228077,0.1316172358339746,0.3731301094201576
Low WIP,0.0,123.0,0.24949283061761704,0.13272836117077286,0.37576022568589484
Low WIP,0.0,124.0,0.2512146083077852,0.13392679304239574,0.37792718362714145
Low WIP,0.0,125.0,0.25289445343809686,0.1352761181020058,0.37920783254169144
Low WIP,0.0,126.0,0.2545333786241123,0.1364869225435859,0.38190084986708495
Low WIP,0.0,127.0,0.2561323387170399,0.1376950818194296,0.38384734354893
Low WIP,0.0,128.0,0.2576922993151484,0.13892518112033514,0.38587448952745595
Low WIP,0.0,129.0,0.2592141690309806,0.14035128741361907,0.387234414748518
Low WIP,0.0,130.0,0.26069890214824565,0.14117741243340173,0.38891443296320993
Low WIP,0.0,131.0,0.26214734564013353,0.14250378792570656,0.3905526739145502
Low WIP,0.0,132.0,0.26356040836849914,0.14354502574401182,0.3922781157466237
Low WIP,0.0,133.0,0.26493892738088776,0.14489385525133963,0.39356049315339187
Low WIP,0.0,134.0,0.2662837342969068,0.14591548967235768,0.3950389302108418
Low WIP,0.0,135.0,0.26759565613065045,0.1473207886596502,0.3963728722742294
Low WIP,0.0,136.0,0.26887549867365534,0.14838911047756237,0.39747989356160934
Low WIP,0.0,137.0,0.2701240150816996,0.14916093133639097,0.3988561362864064
Low WIP,0.0,138.0,0.2713419708440909,0.15008504969195008,0.40039946700245604
Low WIP,0.0,139.0,0.2725301260906491,0.1508167041754102,0.40186449604831154
Low WIP,0.0,140.0,0.27368919092864785,0.15165632716477095,0.4033788349235094
Low WIP,0.0,141.0,0.2748198570062712,0.1527694521802322,0.40438779246788187
Low WIP,0.0,142.0,0.2759228271864812,0.1536577920936122,0.4053849180311206
Low WIP,0.0,143.0,0.2769987712258622,0.1545021540762732,0.40649195621184914
Low WIP,0.0,144.0,0.2780483407824804,0.1551973394018358,0.40818675133352456
Low WIP,0.0,145.0,0.27907215635689003,0.1557129360368216,0.40966966230991164
Low WIP,0.0,146.0,0.28007084968676166,0.1561501850814841,0.4104584555533343
Low WIP,0.0,147.0,0.28104502201926956,0.15697554622271448,0.41175356664596235
Low WIP,0.0,148.0,0.28199525822240684,0.15753199837112236,0.41306095431918693
Low WIP,0.0,149.0,0.2829221274292917,0.15871880704728597,0.41393057849453474
Low WIP,0.0,150.0,0.28382619810980736,0.15968535948133852,0.4150757211692841
Median WIP,559.9999999999998,0.0,0.0,0.0,0.0
Median WIP,559.9999999999998,1.0,0.013495581850850459,-0.02092171194295772,0.04616325908712966
Median WIP,559.9999999999998,2.0,0.01976739031739775,-0.012087170793284616,0.05094778101629472
Median WIP,559.9999999999998,3.0,0.024158377827339726,-0.00574239951581339,0.0540726813544036
Median WIP,559.9999999999998,4.0,0.027529944353585238,-0.0010217343575799176,0.05661577476413725
Median WIP,559.9999999999998,5.0,0.030262136483074065,0.0027488888800853875,0.0587892216015528
Median WIP,559.9999999999998,6.0,0.032556168845397644,0.005740160258598515,0.06105884047061325
Median WIP,559.9999999999998,7.0,0.03453140189581012,0.00826930106173232,0.06275389173618545
Median WIP,559.9999999999998,8.0,0.03626441329377944,0.010235583612416744,0.06424394525085803
Median WIP,559.9999999999998,9.0,0.03780724303259642,0.01184033806531215,0.06584466265149841
Median WIP,559.9999999999998,10.0,0.03919685227026494,0.013590524463334697,0.06681893877922224
Median WIP,559.9999999999998,11.0,0.04046042717343277,0.015002588487670955,0.06804655459756076
Median WIP,559.9999999999998,12.0,0.041618540755110275,0.0159990717161273,0.06925405764234016
Median WIP,559.9999999999998,13.0,0.042687132926500254,0.017255701230844644,0.07032922015086551
Median WIP,559.9999999999998,14.0,0.04367880175283067,0.018047757333052396,0.07157890366038829
Median WIP,559.9999999999998,15.0,0.04460367461094991,0.01893903890759463,0.07243236925519074
Median WIP,559.9999999999998,16.0,0.045470013152278166,0.01975856264201418,0.07348614839788296
Median WIP,559.9999999999998,17.0,0.04628464399919222,0.020483452017476013,0.07450417151740392
Median WIP,559.9999999999998,18.0,0.047053272093589525,0.021001980366290085,0.07507624765333606
Median WIP,559.9999999999998,19.0,0.04778071305526253,0.02158823997078433,0.0756213611236559
Median WIP,559.9999999999998,20.0,0.04847106841654401,0.022082686214942672,0.0764802155683747
Median WIP,559.9999999999998,21.0,0.04912785978235837,0.022509421952320086,0.07709304665009911
Median WIP,559.9999999999998,22.0,0.049754132942132066,0.022921115706065132,0.07789301089808848
Median WIP,559.9999999999998,23.0,0.050352539656319494,0.023230838247381924,0.07904058177989329
Median WIP,559.9999999999998,24.0,0.053367254138416496,0.025812932612787564,0.08139909556763758
Median WIP,559.9999999999998,25.0,0.05613499137520947,0.029007106066402756,0.08363063984857554
Median WIP,559.9999999999998,26.0,0.058718573734121114,0.031184034682586015,0.0864686143475166
Median WIP,559.9999999999998,27.0,0.06116820036100164,0.0334208509699902,0.08906740121473138
Median WIP,559.9999999999998,28.0,0.06352407301378843,0.03518815802461357,0.09193253908125602
Median WIP,559.9999999999998,29.0,0.06581840436309404,0.03686044151694133,0.09465466812740683
Median WIP,559.9999999999998,30.0,0.06807697872614243,0.03850124432244998,0.09747783025748155
Median WIP,559.9999999999998,31.0,0.07032036752407944,0.04017560971144729,0.10047997570479127
Median WIP,559.9999999999998,32.0,0.07256489697122531,0.041691458786302524,0.10337202603187165
Median WIP,559.9999999999998,33.0,0.07482340794996124,0.04324190834198639,0.10626446059093894
Median WIP,559.9999999999998,34.0,0.07710587514380464,0.044864924934986374,0.10907336271523169
Median WIP,559.9999999999998,35.0,0.07941989669875858,0.0464664638389236,0.11235348429219184
Median WIP,559.9999999999998,36.0,0.08177110715754693,0.04798275893483621,0.11534766875088824
Median WIP,559.9999999999998,37.0,0.08416350059976663,0.04940678976607362,0.11858091045277334
Median WIP,559.9999999999998,38.0,0.08659970531888282,0.05104439597698278,0.12188025151141242
Median WIP,559.9999999999998,39.0,0.08908121207379731,0.052754463611388455,0.12525160671335608
Median WIP,559.9999999999998,40.0,0.09160856584800203,0.054387914585078925,0.12871261179282012
Median WIP,559.9999999999998,41.0,0.09418151566279122,0.056076086403630356,0.1321926032634396
Median WIP,559.9999999999998,42.0,0.09679915199724581,0.05754642387177409,0.13604828912428096
Median WIP,559.9999999999998,43.0,0.09946002404493051,0.05926873913073605,0.1394981556055821
Median WIP,559.9999999999998,44.0,0.10216223105834805,0.06105201422309242,0.1430440117317307
Median WIP,559.9999999999998,45.0,0.10490350068887899,0.06271908087883199,0.14710629111298879
Median WIP,559.9999999999998,46.0,0.10768126524906214,0.06422241915906608,0.15067499733183887
Median WIP,559.9999999999998,47.0,0.11049272258588962,0.06582969636109304,0.15476046465460985
Median WIP,559.9999999999998,48.0,0.11333487484528056,0.0675299549652559,0.1586723456044092
Median WIP,559.9999999999998,49.0,0.11620459674122025,0.06931797986732031,0.16285406769675095
Median WIP,559.9999999999998,50.0,0.11909864796348107,0.07103283548441319,0.16674700983851384
Median WIP,559.9999999999998,51.0,0.12201372557568768,0.07298278316608539,0.17077202975609748
Median WIP,559.9999999999998,52.0,0.1249464854130489,0.07455620654725019,0.1749486373914373
Median WIP,559.9999999999998,53.0,0.1278935671796898,0.07604627221220242,0.17898480064993888
Median WIP,559.9999999999998,54.0,0.13085162263516076,0.07793867229305532,0.1835361970353683
Median WIP,559.9999999999998,55.0,0.13381732767173612,0.08002195611761642,0.18776559797373665
Median WIP,559.9999999999998,56.0,0.13678739634339734,0.08169636255709127,0.1919164319722262
Median WIP,559.9999999999998,57.0,0.139758602852829,0.08318447781830422,0.19635389220832722
Median WIP,559.9999999999998,58.0,0.1427278035699755,0.084919959810265,0.20065739494665918
Median WIP,559.9999999999998,59.0,0.14569191681215932,0.08642530220868258,0.20507717513491885
Median WIP,559.9999999999998,60.0,0.1486479571902789,0.08790253139755876,0.20919129721395113
Median WIP,559.9999999999998,61.0,0.15159304457472306,0.0895375748042542,0.213689723415415
Median WIP,559.9999999999998,62.0,0.15452432109785244,0.09098067924360177,0.21783229118465153
Median WIP,559.9999999999998,63.0,0.15743709066993786,0.09283622748852612,0.22231701600734582
Median WIP,559.9999999999998,64.0,0.16032511282816014,0.09461620944841959,0.2271374215896885
Median WIP,559.9999999999998,65.0,0.1631827963046721,0.09613985816514636,0.23150941156213414
Median WIP,559.9999999999998,66.0,0.1660052733273976,0.09753999687806526,0.23569775812754998
Median WIP,559.9999999999998,67.0,0.16878834122489622,0.09892785567263958,0.24007372454999343
Median WIP,559.9999999999998,68.0,0.17152837124821668,0.1003144244549333,0.2442456391136845
Median WIP,559.9999999999998,69.0,0.17422230307689587,0.10177048813557776,0.24814621535635958
Median WIP,559.9999999999998,70.0,0.17686755021832412,0.1032413053321449,0.2522898433230572
Median WIP,559.9999999999998,71.0,0.17946198909650765,0.10469518773426237,0.25612519440135223
Median WIP,559.9999999999998,72.0,0.1820038964310404,0.10600795289092399,0.2598236665927486
Median WIP,559.9999999999998,73.0,0.1844919042915449,0.10739085105580874,0.26360879053055664
Median WIP,559.9999999999998,74.0,0.1869249962549878,0.10868069302692306,0.26734195831075497
Median WIP,559.9999999999998,75.0,0.1893024239775299,0.10987723628730596,0.2713135096022211
Median WIP,559.9999999999998,76.0,0.1916237237890014,0.1109950746295901,0.27486584349315707
Median WIP,559.9999999999998,77.0,0.19388865490173451,0.11221913447239629,0.2782362135661121
Median WIP,559.9999999999998,78.0,0.19609718132237214,0.11322851194950483,0.28161358624786975
Median WIP,559.9999999999998,79.0,0.19824947585338581,0.11451771047506064,0.28494952428543235
Median WIP,559.9999999999998,80.0,0.20034583659801664,0.1155910187371116,0.2883573232981922
Median WIP,559.9999999999998,81.0,0.2023867352716801,0.11658557592173889,0.2922104856425376
Median WIP,559.9999999999998,82.0,0.20437274961685659,0.11756647516558213,0.2957677406747249
Median WIP,559.9999999999998,83.0,0.20630457333308772,0.11870872383716294,0.29874718814160023
Median WIP,559.9999999999998,84.0,0.20818298534986598,0.11954774588420294,0.3016209121904605
Median WIP,559.9999999999998,85.0,0.21000885373556652,0.12043201007850343,0.3043436029429956
Median WIP,559.9999999999998,86.0,0.2117830962513489,0.12116563670191718,0.30707800370899063
Median WIP,559.9999999999998,87.0,0.21350670238040392,0.12196345962075886,0.3097063172056244
Median WIP,559.9999999999998,88.0,0.21518068745693977,0.1227402222357962,0.3122558600655509
Median WIP,559.9999999999998,89.0,0.2168061294544304,0.12345759037912393,0.3149761668022439
Median WIP,559.9999999999998,90.0,0.218384109141207,0.12415514840106245,0.3174681191283218
Median WIP,559.9999999999998,91.0,0.21991573391697702,0.12491348232967367,0.31982940443068647
Median WIP,559.9999999999998,92.0,0.22140213643866377,0.12570645713195958,0.32232351827184963
Median WIP,559.9999999999998,93.0,0.22284445165673375,0.1263862892755369,0.32472804483625045
Median WIP,559.9999999999998,94.0,0.224243807994066,0.12705834210631034,0.32710463993982825
Median WIP,559.9999999999998,95.0,0.22560134983101032,0.12771378812129572,0.32942888033384893
Median WIP,559.9999999999998,96.0,0.22691821006559026,0.12840126773426025,0.33135805580388794
Median WIP,559.9999999999998,97.0,0.22819550435358346,0.12903805076005972,0.33322726303468353
Median WIP,559.9999999999998,98.0,0.2294343475453607,0.12954664359701046,0.3352286604788374
Median WIP,559.9999999999998,99.0,0.23063584742775564,0.13003078409344207,0.3371246954465687
Median WIP,559.9999999999998,100.0,0.23180108113126907,0.13049295599207342,0.3390545661901008
Median WIP,559.9999999999998,101.0,0.23293110892852537,0.1309398920627201,0.3410451394165307
Median WIP,559.9999999999998,102.0,0.23402698870324481,0.13137267782906248,0.34297970515941
Median WIP,559.9999999999998,103.0,0.2350897426001284,0.13181035216477022,0.3446832535188628
Median WIP,559.9999999999998,104.0,0.23612037759499882,0.1323790994872313,0.346221194081925
Median WIP,559.9999999999998,105.0,0.23711987679722826,0.13295109404898625,0.3480330546267042
Median WIP,559.9999999999998,106.0,0.23808919241384585,0.13350589589768036,0.34976619694650696
Median WIP,559.9999999999998,107.0,0.23902927528852422,0.13400477025300755,0.35117713214312074
Median WIP,559.9999999999998,108.0,0.2399410235896903,0.13443504591466443,0.35275258017442707
Median WIP,559.9999999999998,109.0,0.24082534116712778,0.13485227065046523,0.3542574795290361
Median WIP,559.9999999999998,110.0,0.24168308726536744,0.13525687186103075,0.3557026760681289
Median WIP,559.9999999999998,111.0,0.24251509944458155,0.13564926437382602,0.35710439013068795
Median WIP,559.9999999999998,112.0,0.24332219967564728,0.13602985332442674,0.3584639858819395
Median WIP,559.9999999999998,113.0,0.24410518123809263,0.1363990283570576,0.35978059303477883
Median WIP,559.9999999999998,114.0,0.24486481688928122,0.13675716769893445,0.3609700872637098
Median WIP,559.9999999999998,115.0,0.2456018519472708,0.13710463498540992,0.36190005544297066
Median WIP,559.9999999999998,116.0,0.24631700552647956,0.1374417800490065,0.36301825544334143
Median WIP,559.9999999999998,117.0,0.24701098375569935,0.13776894515375068,0.3642168722740675
Median WIP,559.9999999999998,118.0,0.24768446754217902,0.13808645948509723,0.3654365504731071
Median WIP,559.9999999999998,119.0,0.24833811939633338,0.13840758607642897,0.36655012095984557
Median WIP,559.9999999999998,120.0,0.24897256639793058,0.13868695201950643,0.367682913115921
Median WIP,559.9999999999998,121.0,0.2495884304571689,0.13897070688265625,0.3687676008853957
Median WIP,559.9999999999998,122.0,0.250186311006002,0.1392461153396825,0.3698077101984574
Median WIP,559.9999999999998,123.0,0.2507667802330865,0.1395134516848066,0.3707324268768147
Median WIP,559.9999999999998,124.0,0.25133040079251706,0.13977298472038702,0.3715055074665833
Median WIP,559.9999999999998,125.0,0.2518777041495867,0.14002496798254985,0.3723040733704466
Median WIP,559.9999999999998,126.0,0.2524092182146436,0.14026965233780597,0.3730705762800161
Median WIP,559.9999999999998,127.0,0.25292544191213046,0.1405072746893636,0.37381483098642515
Median WIP,559.9999999999998,128.0,0.2534268658030346,0.14073806716919238,0.37453755827462487
Median WIP,559.9999999999998,129.0,0.2539139530149309,0.1409622487884241,0.37522839300837874
Median WIP,559.9999999999998,130.0,0.2543871693476458,0.1411867735429085,0.37588879190958596
Median WIP,559.9999999999998,131.0,0.25484693988932006,0.14140732847597257,0.3765299827595263
Median WIP,559.9999999999998,132.0,0.2552936979497395,0.1416217199649815,0.37719026508366926
Median WIP,559.9999999999998,133.0,0.2557278473574558,0.1418301403236698,0.3779317721081121
Median WIP,559.9999999999998,134.0,0.25614978186080534,0.14201037458458826,0.37865254357498523
Median WIP,559.9999999999998,135.0,0.25655988570146854,0.14217586959954379,0.3793532234019539
Median WIP,559.9999999999998,136.0,0.2569585293164265,0.14237687819186254,0.3800344333608857
Median WIP,559.9999999999998,137.0,0.25734606106263663,0.14253389369787797,0.3805778904867779
Median WIP,559.9999999999998,138.0,0.25772282568771354,0.142686391248754,0.3810927904674284
Median WIP,559.9999999999998,139.0,0.2580891596491195,0.14283451694788948,0.381592769457343
Median WIP,559.9999999999998,140.0,0.2584453791819398,0.14297840784015514,0.38207830274835447
Median WIP,559.9999999999998,141.0,0.2587917893962248,0.14311819594497582,0.3826096606083752
Median WIP,559.9999999999998,142.0,0.2591286926243214,0.1432540116447509,0.38320119730857377
Median WIP,559.9999999999998,143.0,0.25945637660026005,0.14338597885975873,0.38377766175570116
Median WIP,559.9999999999998,144.0,0.2597751188543616,0.14351421674360687,0.3843394855282955
Median WIP,559.9999999999998,145.0,0.2600851834977304,0.14363883864031374,0.38488707997253624
Median WIP,559.9999999999998,146.0,0.2603868328555448,0.1437630633627059,0.3853735047213903
Median WIP,559.9999999999998,147.0,0.2606803164812925,0.14388675572604975,0.3857926351148963
Median WIP,559.9999999999998,148.0,0.2609658751924716,0.14400698595972097,0.38618983146764146
Median WIP,559.9999999999998,149.0,0.26124374146691987,0.14412385790538856,0.3865709700830317
Median WIP,559.9999999999998,150.0,0.26151414362276537,0.14423747340543436,0.38694200184883326
High WIP,1075.0000000000002,0.0,0.0,0.0,0.0
High WIP,1075.0000000000002,1.0,0.015853648053053022,-0.01677864219965347,0.046801332977626474
High WIP,1075.0000000000002,2.0,0.023593460775951296,-0.005546638515808732,0.05242218063788415
High WIP,1075.0000000000002,3.0,0.02898820730693727,0.001968073639454571,0.05730141939910771
High WIP,1075.0000000000002,4.0,0.0331162317828099,0.007350074128093265,0.06095495727965609
High WIP,1075.0000000000002,5.0,0.03645193587263858,0.011166916850863896,0.06405447938692917
High WIP,1075.0000000000002,6.0,0.03924590822659672,0.014183450260965081,0.06686549526188759
High WIP,1075.0000000000002,7.0,0.041646504946987586,0.01651743355941655,0.06916675320212323
High WIP,1075.0000000000002,8.0,0.043748742091242625,0.018342585096992426,0.07134108449126043
High WIP,1075.0000000000002,9.0,0.04561709041827753,0.019862212721874772,0.07317731389249418
High WIP,1075.0000000000002,10.0,0.04729727614074627,0.02112612887848383,0.07504392098423596
High WIP,1075.0000000000002,11.0,0.04882288950863218,0.02221360063784188,0.0770255567287898
High WIP,1075.0000000000002,12.0,0.05021931986677396,0.02324494871564221,0.0789094968341514
High WIP,1075.0000000000002,13.0,0.05150621727800702,0.02413903116351801,0.08055142958833682
High WIP,1075.0000000000002,14.0,0.05269909622633715,0.02488770859896987,0.08206765397025775
High WIP,1075.0000000000002,15.0,0.05381041656139801,0.025602104582350516,0.0832701733627078
High WIP,1075.0000000000002,16.0,0.054850333487350786,0.026475731383266723,0.08481277200462196
High WIP,1075.0000000000002,17.0,0.055827231067348715,0.027164210540237745,0.08606688821247849
