date_or_order,day_index,split_code,actual_productivity,predicted_productivity,pi_lower,pi_upper,is_burn_in,series,p_alarm,actual_alarm,_order_key,team_display,department_display,targeted_productivity,incentive,wip,no_of_workers,over_time,smv,no_of_style_change,quarter,date,forecast_gap,below_target,risk_status,risk_flag,interval_width,suggested_focus
18,16,0,0.940701058,0.7100980794754035,0.1946235995821205,0.9615433887174476,False,10__0,0.4072606475611912,0,18,Team 10,Finishing,0.75,0,,14.0,8400,3.94,0,4,2015-01-22,-0.03990192052459651,True,High Risk,1,0.7669197891353271,Review overtime
19,17,0,0.937242424,0.6930748112128161,0.1825766524344471,0.958285565984918,False,10__0,0.4297354872605283,0,19,Team 10,Finishing,0.75,0,,10.0,1800,3.94,0,4,2015-01-24,-0.05692518878718389,True,High Risk,1,0.7757089135504709,Review overtime
20,18,0,0.955151515,0.7814651130615698,0.2611951964434337,0.9733923796485756,False,10__0,0.3072484139197158,0,20,Team 10,Finishing,0.75,0,,19.0,3420,3.94,0,4,2015-01-25,0.03146511306156985,False,Watch,0,0.7121971832051419,Review overtime
21,19,0,0.997792208,0.8038280828740374,0.288468883325161,0.9767270938522772,False,10__0,0.2740506388451411,0,21,Team 10,Finishing,0.75,0,,21.0,3780,3.94,0,4,2015-01-26,0.0538280828740374,False,Healthy,0,0.6882582105271162,No immediate action
22,20,0,0.979527778,0.7797112575651385,0.2603695371670615,0.972963893453506,False,10__0,0.3584797864508314,0,22,Team 10,Finishing,0.8,0,,12.0,1440,3.94,0,4,2015-01-27,-0.020288742434861562,True,Watch,0,0.7125943562864445,Review team conditions
23,21,0,0.840533333,0.7769835868535185,0.2575480518266349,0.9725093528608402,False,10__0,0.3626322576980884,0,23,Team 10,Finishing,0.8,0,,10.0,1200,3.94,0,4,2015-01-28,-0.023016413146481507,True,Watch,0,0.7149613010342053,Review team conditions
24,22,0,0.85695,0.8219499002399301,0.3151615506513774,0.9791714801383656,False,10__0,0.2903783453600684,0,24,Team 10,Finishing,0.8,0,,10.0,1200,3.94,0,0,2015-01-29,0.021949900239930042,False,Healthy,0,0.6640099294869882,No immediate action
25,23,0,0.971866667,0.8233083639803382,0.3174490513055254,0.979337553792238,False,10__0,0.2880040945294735,0,25,Team 10,Finishing,0.8,0,,10.0,1200,3.94,0,0,2015-01-31,0.023308363980338198,False,Healthy,0,0.6618885024867125,No immediate action
26,24,0,0.8865,0.8166623880845268,0.3080354636806081,0.978364352186658,False,10__0,0.2989630344590664,0,26,Team 10,Finishing,0.8,0,,10.0,1200,3.94,0,1,2015-02-01,0.016662388084526802,False,Healthy,0,0.6703288885060499,No immediate action
27,25,0,0.85695,0.8194752477853694,0.3123132282758175,0.978744047943904,False,10__0,0.2942084844582492,0,27,Team 10,Finishing,0.8,0,,10.0,1200,3.94,0,1,2015-02-02,0.019475247785369354,False,Healthy,0,0.6664308196680866,No immediate action
30,26,0,0.771583333,0.7996114839909239,0.285289110369979,0.975845650974502,False,10__0,0.3267003453371749,0,30,Team 10,Finishing,0.8,0,,8.0,960,3.94,0,1,2015-02-05,-0.00038851600907618966,True,Watch,0,0.6905565406045231,Review team conditions
40,27,0,0.927541667,0.7800415726293206,0.2620696644777208,0.97283125595632,False,10__0,0.3575615413417473,0,40,Team 10,Finishing,0.8,0,,8.0,960,3.94,0,3,2015-02-17,-0.019958427370679432,True,Watch,0,0.7107615914785992,Review team conditions
41,28,1,0.64025,0.7870072131943516,0.2702800691678982,0.9738849219982948,False,10__0,0.3466088881135244,1,41,Team 10,Finishing,0.8,0,,8.0,960,3.94,0,3,2015-02-18,-0.012992786805648415,True,Watch,0,0.7036048528303966,Review team conditions
42,29,1,0.733277778,0.8024577527720947,0.2897686504125827,0.976174574947086,False,10__0,0.3218254001033377,0,42,Team 10,Finishing,0.8,0,,10.0,2400,3.94,0,3,2015-02-19,0.0024577527720947012,False,Watch,0,0.6864059245345033,Review overtime
43,30,1,0.385791667,0.7743512971620722,0.2562825545507787,0.971862221500448,False,10__0,0.3662093011212102,1,43,Team 10,Finishing,0.8,0,,8.0,960,3.94,0,4,2015-02-22,-0.02564870283792786,True,Watch,0,0.7155796669496692,Review team conditions
44,31,1,0.955791667,0.8523624455187766,0.3665449008076309,0.9832530128945276,False,10__0,0.2378021690560675,0,44,Team 10,Finishing,0.8,0,,20.0,2400,3.94,0,4,2015-02-23,0.05236244551877656,False,Healthy,0,0.6167081120868967,No immediate action
45,32,1,0.902222222,0.8485720823185086,0.3601779338490666,0.9827052571071242,False,10__0,0.1691466761516651,0,45,Team 10,Finishing,0.7,0,,15.0,1800,2.9,0,4,2015-02-24,0.1485720823185086,False,Healthy,0,0.6225273232580576,No immediate action
46,33,1,0.845833333,0.8148593455233565,0.3070569681276444,0.9779429708680356,False,10__0,0.2160842843788708,0,46,Team 10,Finishing,0.7,0,,10.0,1200,2.9,0,4,2015-02-25,0.11485934552335653,False,Healthy,0,0.6708860027403912,No immediate action
47,34,1,0.410833333,0.7876733967059553,0.271903915697596,0.9738781276239188,False,10__0,0.2536545727803127,1,47,Team 10,Finishing,0.7,0,,8.0,3360,2.9,0,4,2015-02-26,0.08767339670595531,False,Healthy,0,0.7019742119263228,No immediate action
48,35,1,0.410833333,0.7798404903614228,0.2629837444401608,0.9726413764785494,False,10__0,0.2643068130982514,1,48,Team 10,Finishing,0.7,0,,8.0,3360,2.9,0,4,2015-02-28,0.07984049036142282,False,Healthy,0,0.7096576320383886,No immediate action
49,36,1,0.664583333,0.7978164379508305,0.2845586352120431,0.9753931654704832,False,10__0,0.2395837582981232,0,49,Team 10,Finishing,0.7,0,,8.0,3360,2.9,0,1,2015-03-01,0.0978164379508305,False,Healthy,0,0.69083453025844,No immediate action
50,37,2,0.632361111,0.7948512651330173,0.2809748287408927,0.9749290337168274,False,10__0,0.2436128832453178,0,50,Team 10,Finishing,0.7,0,,8.0,3360,2.9,0,1,2015-03-02,0.09485126513301734,False,Healthy,0,0.6939542049759346,No immediate action
51,38,2,0.463194444,0.7913832276321605,0.2768408694267001,0.9743851605809212,False,10__0,0.2483306670929776,1,51,Team 10,Finishing,0.7,0,,8.0,3360,2.9,0,1,2015-03-03,0.09138322763216056,False,Healthy,0,0.6975442911542211,No immediate action
55,39,2,0.441041667,0.7843251895522224,0.2685874225301918,0.9732786778173144,False,10__0,0.2579582459996171,1,55,Team 10,Finishing,0.7,0,,8.0,960,2.9,0,2,2015-03-08,0.08432518955222246,False,Healthy,0,0.7046912552871225,No immediate action
56,40,2,0.477291667,0.9899640882783204,0.8900242942422473,0.9995194090101822,False,10__0,0.0027035130163285,1,56,Team 10,Finishing,0.7,960,,8.0,0,2.9,0,2,2015-03-09,0.28996408827832043,False,Healthy,0,0.10949511476793494,No immediate action
57,41,2,0.39875,0.7603270640358003,0.2427879672788678,0.9694092627015912,False,10__0,0.2904949133433886,1,57,Team 10,Finishing,0.7,0,,8.0,960,2.9,0,2,2015-03-10,0.06032706403580035,False,Healthy,0,0.7266212954227234,No immediate action
58,42,2,0.628333333,0.7533375546516147,0.2359582066076655,0.968234573568897,False,10__0,0.3462581875703812,1,58,Team 10,Finishing,0.75,0,,8.0,960,2.9,0,2,2015-03-11,0.0033375546516146715,False,Watch,0,0.7322763669612314,Review team conditions
0,0,0,0.712205247,0.7231520771343264,0.190119442514362,0.9670148549635628,True,10__1,0.3938101955731598,0,0,Team 10,Sewing,0.75,45,578.0,54.0,6480,19.31,0,1,2015-01-01,-0.026847922865673612,True,Watch,0,0.7768954124492008,Review staffing
1,1,0,0.787299691,0.773625403380791,0.2391447888826712,0.9740916088686828,True,10__1,0.3237692705828449,0,1,Team 10,Sewing,0.75,56,610.0,54.0,6480,19.31,0,1,2015-01-03,0.023625403380791,False,Watch,0,0.7349468199860116,Review staffing
2,2,0,0.699965217,0.7012578178119249,0.1799504124281814,0.9619606671588444,True,10__1,0.3726614845589523,0,2,Team 10,Sewing,0.7,40,1202.0,57.5,6900,28.08,0,1,2015-01-04,0.0012578178119249106,False,Watch,0,0.782010254730663,Review WIP
3,3,0,0.7504,0.721072117252241,0.1972531600403107,0.9648065018860712,True,10__1,0.3941301433844711,0,3,Team 10,Sewing,0.75,45,1083.0,58.5,7020,28.08,0,1,2015-01-05,-0.028927882747759037,True,Watch,0,0.7675533418457605,Review WIP
4,4,0,0.750545455,0.7249484962899723,0.2023511432218385,0.96504045030338,True,10__1,0.3883566161662513,0,4,Team 10,Sewing,0.75,45,1209.0,58.5,10530,28.08,0,1,2015-01-06,-0.025051503710027734,True,Watch,0,0.7626893070815415,Review WIP
5,5,0,0.8,0.8356969745225769,0.3301755054266488,0.9816181308249272,True,10__1,0.2273706260596449,0,5,Team 10,Sewing,0.75,69,1144.0,58.5,10530,28.08,0,1,2015-01-07,0.08569697452257685,False,Healthy,0,0.6514426253982784,No immediate action
6,6,0,0.8,0.8252285172975999,0.3160977506861686,0.9800018056704636,True,10__1,0.2425450343513169,0,6,Team 10,Sewing,0.75,69,1066.0,58.5,10530,28.08,0,2,2015-01-08,0.07522851729759994,False,Healthy,0,0.663904054984295,No immediate action
7,7,0,0.8,0.7958615523101479,0.2780091051043726,0.9755936509265374,True,10__1,0.3335732955408777,0,7,Team 10,Sewing,0.8,63,1082.0,58.5,10530,28.08,0,2,2015-01-10,-0.004138447689852165,True,Watch,0,0.6975845458221648,Review WIP
8,8,0,0.8,0.667497391179117,0.1669199712679962,0.9528679212463536,False,10__1,0.5165882200107608,0,8,Team 10,Sewing,0.8,38,762.0,58.5,10530,28.08,0,2,2015-01-11,-0.13250260882088305,True,High Risk,1,0.7859479499783574,Review incentive
9,9,0,0.688557555,0.6475281854350688,0.1552567024955694,0.9485691786679332,False,10__1,0.5418200144683245,0,9,Team 10,Sewing,0.8,45,381.0,58.5,6930,50.48,0,2,2015-01-12,-0.1524718145649312,True,High Risk,1,0.7933124761723638,Review overtime
10,10,0,0.35020649,0.6296839414888645,0.1463427387022633,0.9442247139611296,False,10__1,0.1591356241767735,0,10,Team 10,Sewing,0.35,23,715.0,56.5,10170,22.4,0,2,2015-01-13,0.27968394148886455,False,Healthy,0,0.7978819752588663,No immediate action
11,11,0,0.499980334,0.6294578188478381,0.1465860059385467,0.9440186541702996,False,10__1,0.2749465879927819,0,11,Team 10,Sewing,0.5,23,947.0,56.5,3390,22.4,0,2,2015-01-14,0.12945781884783814,False,Healthy,0,0.7974326482317529,No immediate action
12,12,0,0.600291767,0.6006222215728795,0.1323282745462322,0.9369934845625192,False,10__1,0.3956584805906751,0,12,Team 10,Sewing,0.6,23,1076.0,56.5,10170,22.52,0,3,2015-01-15,0.0006222215728795,False,Watch,0,0.804665210016287,Review WIP
13,13,0,0.650198653,0.6544438755596577,0.1616326966813346,0.9492096276316612,False,10__1,0.3791015069251695,0,13,Team 10,Sewing,0.65,35,1163.0,54.0,9720,22.52,0,3,2015-01-17,0.00444387555965764,False,Watch,0,0.7875769309503265,Review WIP
14,14,0,0.700094156,0.6735820398474361,0.1740546375894147,0.953079413021002,False,10__1,0.4034220585006875,0,14,Team 10,Sewing,0.7,40,1002.0,56.0,10080,22.52,0,3,2015-01-18,-0.026417960152563813,True,High Risk,1,0.7790247754315873,Review incentive
15,15,0,0.750057359,0.7856719216346939,0.2723888062526329,0.9731912119142754,False,10__1,0.2550713563802935,0,15,Team 10,Sewing,0.7,63,938.0,56.0,10080,22.52,0,3,2015-01-19,0.08567192163469395,False,Healthy,0,0.7008024056616424,No immediate action
16,16,0,0.750057359,0.7883073575299423,0.2759606846663565,0.9735455627537548,False,10__1,0.2512380283111278,0,16,Team 10,Sewing,0.7,63,1108.0,56.0,10080,22.52,0,3,2015-01-20,0.08830735752994234,False,Healthy,0,0.6975848780873983,No immediate action
17,17,0,0.800020563,0.8430118875104351,0.3547216607485645,0.9816059091944438,False,10__1,0.1749667447818541,0,17,Team 10,Sewing,0.7,75,1206.0,56.0,10080,22.52,0,3,2015-01-21,0.14301188751043514,False,Healthy,0,0.6268842484458793,No immediate action
18,18,0,0.800020563,0.7413923696945857,0.2277693263467762,0.9656317112661496,False,10__1,0.3621566249347684,0,18,Team 10,Sewing,0.75,55,1328.0,56.0,10080,22.52,0,4,2015-01-22,-0.008607630305414338,True,Watch,0,0.7378623849193733,Review WIP
19,19,0,0.80062987,0.8138043113800548,0.3102144987073541,0.9773034714628316,False,10__1,0.2553954063536938,0,19,Team 10,Sewing,0.75,69,1332.0,56.0,10080,22.52,0,4,2015-01-24,0.06380431138005482,False,Healthy,0,0.6670889727554774,No immediate action
20,20,0,0.800020563,0.8146512505236397,0.311791356842842,0.977389712052492,False,10__1,0.2539320595150365,0,20,Team 10,Sewing,0.75,69,1413.0,56.0,10080,22.52,0,4,2015-01-25,0.06465125052363974,False,Healthy,0,0.66559835520965,No immediate action
21,21,0,0.800020563,0.7410140648732395,0.2284071392798534,0.965377103510728,False,10__1,0.3623665986314746,0,21,Team 10,Sewing,0.75,55,1250.0,56.0,10080,22.52,0,4,2015-01-26,-0.008985935126760491,True,Watch,0,0.7369699642308747,Review WIP
22,22,0,0.900129762,0.8172975326224033,0.316376105625559,0.9777008194504409,False,10__1,0.2951140030208032,0,22,Team 10,Sewing,0.8,70,1134.0,56.0,6720,22.52,0,4,2015-01-27,0.0172975326224033,False,Healthy,0,0.6613247138248819,No immediate action
23,23,0,0.850532143,0.7742509915268041,0.2624047214405496,0.9709330446688536,False,10__1,0.3645255656215394,0,23,Team 10,Sewing,0.8,60,1175.0,56.0,6720,22.52,0,4,2015-01-28,-0.025749008473195945,True,Watch,0,0.708528323228304,Review WIP
24,24,0,0.900129762,0.9121646636984374,0.5176573344111655,0.9904730476086792,False,10__1,0.125416011164148,0,24,Team 10,Sewing,0.8,88,1088.0,56.0,6720,22.52,0,0,2015-01-29,0.11216466369843736,False,Healthy,0,0.4728157131975137,No immediate action
25,25,0,0.920236905,0.9226333000903164,0.552114078682443,0.9917344427860836,False,10__1,0.1058852234465998,0,25,Team 10,Sewing,0.8,93,1116.0,56.0,6720,22.52,0,0,2015-01-31,0.12263330009031637,False,Healthy,0,0.4396203641036406,No immediate action
26,26,0,0.850532143,0.8655091394565737,0.4006777854569787,0.9844308338408332,False,10__1,0.2108405567012742,0,26,Team 10,Sewing,0.8,75,1282.0,56.0,6720,22.52,0,1,2015-02-01,0.06550913945657366,False,Healthy,0,0.5837530483838544,No immediate action
27,27,0,0.900129762,0.937770392701865,0.6060729925241065,0.993601386416842,False,10__1,0.0791670593128154,0,27,Team 10,Sewing,0.8,88,21540.0,56.0,6720,22.52,0,1,2015-02-02,0.13777039270186497,False,Healthy,0,0.3875283938927355,No immediate action
28,28,0,0.999995238,0.9061390273612224,0.5006942636361909,0.9896800648185604,False,10__1,0.1361205523951673,0,28,Team 10,Sewing,0.8,90,1188.0,56.0,6720,22.52,0,1,2015-02-03,0.10613902736122238,False,Healthy,0,0.48898580118236956,No immediate action
29,29,0,0.999995238,0.9539615783053672,0.6816027735467498,0.9953705643475086,False,10__1,0.0495527833781621,0,29,Team 10,Sewing,0.8,113,1108.0,56.0,6720,22.52,0,1,2015-02-04,0.15396157830536716,False,Healthy,0,0.3137677908007588,No immediate action
30,30,0,0.999995238,0.9604142017232644,0.7147981717575365,0.9960925290342766,False,10__1,0.0388850253433187,0,30,Team 10,Sewing,0.8,113,1039.0,56.0,6720,22.52,0,1,2015-02-05,0.16041420172326437,False,Healthy,0,0.2812943572767401,No immediate action
31,31,0,0.900129762,0.9373533681040236,0.6088513425926205,0.9934244770135584,False,10__1,0.0782067721361722,0,31,Team 10,Sewing,0.8,88,1142.0,56.0,6720,22.52,0,1,2015-02-07,0.13735336810402354,False,Healthy,0,0.3845731344209379,No immediate action
32,32,0,0.9008,0.935917608501378,0.6032566871396197,0.993251014790672,False,10__1,0.0807403847260042,0,32,Team 10,Sewing,0.8,88,1388.0,56.0,6720,22.52,0,2,2015-02-08,0.1359176085013779,False,Healthy,0,0.38999432765105235,No immediate action
33,33,0,0.9008,0.94006720496211,0.6200147040040721,0.993741246888006,False,10__1,0.0733165291563869,0,33,Team 10,Sewing,0.8,88,1127.0,56.0,120,22.52,0,2,2015-02-09,0.14006720496211,False,Healthy,0,0.3737265428839339,No immediate action
34,34,0,0.90063244,0.9478215502767182,0.6524419146663852,0.99467409839805,False,10__1,0.0601141272047565,0,34,Team 10,Sewing,0.8,88,1268.0,56.0,0,22.52,0,2,2015-02-10,0.14782155027671817,False,Healthy,0,0.34223218373166475,No immediate action
35,35,0,0.850364583,0.9133678676905138,0.5227821725048565,0.9905668730480373,False,10__1,0.1226054322086651,0,35,Team 10,Sewing,0.8,75,598.0,56.0,0,22.52,0,2,2015-02-11,0.11336786769051377,False,Healthy,0,0.4677847005431808,No immediate action
36,36,0,0.441392,0.5350642372245782,0.1044917306091288,0.9191011507425524,False,10__1,0.6707661787006389,1,36,Team 10,Sewing,0.8,0,10.0,50.0,6000,22.52,0,2,2015-02-12,-0.26493576277542186,True,High Risk,1,0.8146094201334236,Review incentive
39,37,0,0.35542803,0.5653112137361191,0.1173330944182797,0.9272487076620676,False,10__1,0.4361679618509333,1,39,Team 10,Sewing,0.6,0,1131.0,44.0,5280,18.22,1,3,2015-02-16,-0.03468878626388083,True,High Risk,1,0.8099156132437879,Review WIP
40,38,0,0.302117347,0.6199122143944308,0.142344976215047,0.9414574825550448,False,10__1,0.4206575124926673,1,40,Team 10,Sewing,0.65,0,741.0,49.0,0,18.22,1,3,2015-02-17,-0.03008778560556924,True,High Risk,1,0.7991125063399978,Review incentive
41,39,1,0.303574468,0.5379936878656513,0.1067768574086095,0.9190592819000292,False,10__1,0.5669154229163392,1,41,Team 10,Sewing,0.7,0,1119.0,47.0,5640,19.68,1,3,2015-02-18,-0.16200631213434868,True,High Risk,1,0.8122824244914196,Review WIP
42,40,1,0.249416667,0.5296828391346277,0.1037312121851957,0.9164421230304096,False,10__1,0.5764316106476022,1,42,Team 10,Sewing,0.7,0,1410.0,48.0,5760,19.68,1,3,2015-02-19,-0.1703171608653723,True,High Risk,1,0.812710910845214,Review WIP
43,41,1,0.456875,0.5029807058882568,0.0942901984474974,0.907733150769784,False,10__1,0.60653866376722,1,43,Team 10,Sewing,0.7,0,1531.0,50.0,6000,21.25,1,4,2015-02-22,-0.19701929411174313,True,High Risk,1,0.8134429523222866,Review WIP
44,42,1,0.417916667,0.5011544779509015,0.093810601880338,0.906974138867728,False,10__1,0.6086501841150296,1,44,Team 10,Sewing,0.7,0,1583.0,50.0,6000,21.25,1,4,2015-02-23,-0.19884552204909844,True,High Risk,1,0.8131635369873901,Review WIP
45,43,1,0.471108491,0.5018173178849581,0.094135685567772,0.907100776162655,False,10__1,0.607965839682681,1,45,Team 10,Sewing,0.7,0,1834.0,53.0,6360,21.25,1,4,2015-02-24,-0.19818268211504186,True,High Risk,1,0.8129650905948831,Review WIP
46,44,1,0.700058333,0.5125069254013433,0.0977451461033829,0.910758874390182,False,10__1,0.5959526298250317,0,46,Team 10,Sewing,0.7,0,1653.0,52.0,6240,21.82,2,4,2015-02-25,-0.1874930745986566,True,High Risk,1,0.8130137282867991,Review WIP
47,45,1,0.700251773,0.5089893991284977,0.0969280280998801,0.9092069206985254,False,10__1,0.6001048923480113,0,47,Team 10,Sewing,0.7,0,1591.0,52.0,3240,21.82,1,4,2015-02-26,-0.19101060087150223,True,High Risk,1,0.8122788925986453,Review WIP
48,46,1,0.700236601,0.7450481695983431,0.2353729825628208,0.9654833992786712,False,10__1,0.30780061528893,0,48,Team 10,Sewing,0.7,40,1448.0,51.0,6120,21.82,1,4,2015-02-28,0.045048169598343124,False,Watch,0,0.7301104167158504,Review WIP
49,47,1,0.700236601,0.7178182547788055,0.211546604650828,0.9604485058286488,False,10__1,0.3442161961919955,0,49,Team 10,Sewing,0.7,30,1393.0,52.0,5640,21.82,0,1,2015-03-01,0.017818254778805498,False,Watch,0,0.7489019011778209,Review WIP
50,48,2,0.70013604,0.7209726848592525,0.2141936754863939,0.9610368898915486,False,10__1,0.3400089547503371,0,50,Team 10,Sewing,0.7,30,1511.0,51.0,3600,21.82,0,1,2015-03-02,0.02097268485925252,False,Watch,0,0.7468432144051547,Review WIP
51,49,2,0.699984417,0.7149107717385648,0.209298145898008,0.959866052716556,False,10__1,0.3480254417988052,0,51,Team 10,Sewing,0.7,30,1313.0,51.0,5040,21.82,0,1,2015-03-03,0.01491077173856481,False,Watch,0,0.750567906818548,Review WIP
52,50,2,0.700058333,0.7165111753180191,0.2106546574992358,0.960158738157722,False,10__1,0.3458813488600643,0,52,Team 10,Sewing,0.7,30,1334.0,53.0,5760,21.82,0,1,2015-03-04,0.016511175318019156,False,Watch,0,0.7495040806584863,Review WIP
53,51,2,0.700422,0.7136402376933942,0.208347791146009,0.9596048161823618,False,10__1,0.3496797366243106,0,53,Team 10,Sewing,0.7,30,1390.0,50.0,6000,21.82,0,1,2015-03-05,0.013640237693394286,False,Watch,0,0.7512570250363528,Review WIP
54,52,2,0.700422,0.7105132785090392,0.2059207413546362,0.9589851832901536,False,10__1,0.3537901798601591,0,54,Team 10,Sewing,0.7,30,1251.0,50.0,6000,21.82,0,1,2015-03-07,0.01051327850903927,False,Watch,0,0.7530644419355174,Review WIP
55,53,2,0.700422,0.7035409759993301,0.2004948877168006,0.9576221788887898,False,10__1,0.3629807290768702,0,55,Team 10,Sewing,0.7,30,1335.0,50.0,6000,21.82,0,2,2015-03-08,0.0035409759993301204,False,Watch,0,0.7571272911719892,Review WIP
56,54,2,0.700422,0.7080225379019546,0.2039705470485605,0.9584986684876498,False,10__1,0.3570750165190213,0,56,Team 10,Sewing,0.7,30,1576.0,50.0,6000,21.82,0,2,2015-03-09,0.008022537901954618,False,Watch,0,0.7545281214390893,Review WIP
57,55,2,0.750608,0.7243872225317532,0.2174208188272905,0.9616002522251162,False,10__1,0.3846209791175059,0,57,Team 10,Sewing,0.75,34,1499.0,50.0,6000,21.82,0,2,2015-03-10,-0.02561277746824675,True,Watch,0,0.7441794333978258,Review WIP
58,56,2,0.750608,0.7279234173867374,0.2204691411293727,0.9622561943209704,False,10__1,0.3796555022521184,0,58,Team 10,Sewing,0.75,34,1674.0,50.0,6000,21.82,0,2,2015-03-11,-0.02207658261326262,True,Watch,0,0.7417870531915978,Review WIP
0,0,0,0.436326389,0.591319590961725,0.1126706782537609,0.9429771980031636,True,11__0,0.5042932990244079,1,0,Team 11,Finishing,0.7,0,,12.0,1440,4.15,0,1,2015-01-01,-0.10868040903827492,True,High Risk,1,0.8303065197494027,Review team conditions
1,1,0,0.987880435,0.6419252966252116,0.1385955345427666,0.9525396864412536,True,11__0,0.495043322521882,0,1,Team 11,Finishing,0.75,0,,17.0,5640,2.9,0,1,2015-01-03,-0.10807470337478842,True,High Risk,1,0.813944151898487,Review overtime
2,2,0,0.345833333,0.61895394643849,0.1284382610154623,0.9472953109967936,True,11__0,0.521984390487898,1,2,Team 11,Finishing,0.75,0,,8.0,960,4.15,0,1,2015-01-04,-0.13104605356151,True,High Risk,1,0.8188570499813314,Review team conditions
3,3,0,0.939513889,0.6212413782078805,0.1314995076213862,0.946911989466184,True,11__0,0.5713378407650316,0,3,Team 11,Finishing,0.8,0,,10.0,2400,3.94,0,1,2015-01-05,-0.17875862179211954,True,High Risk,1,0.8154124818447979,Review overtime
