date,date_or_order,series,team_display,department_display,day_index,split_code,is_burn_in,p_alarm,risk_status,risk_flag,actual_alarm
2015-02-05,30,10__0,Team 10,Finishing,26,0,False,0.3267003453371749,High Risk,1,0
2015-02-17,40,10__0,Team 10,Finishing,27,0,False,0.3575615413417473,High Risk,1,0
2015-02-18,41,10__0,Team 10,Finishing,28,1,False,0.3466088881135244,High Risk,1,1
2015-02-19,42,10__0,Team 10,Finishing,29,1,False,0.3218254001033377,High Risk,1,0
2015-02-22,43,10__0,Team 10,Finishing,30,1,False,0.3662093011212102,High Risk,1,1
2015-02-23,44,10__0,Team 10,Finishing,31,1,False,0.2378021690560675,High Risk,1,0
2015-02-24,45,10__0,Team 10,Finishing,32,1,False,0.1691466761516651,Healthy,0,0
2015-02-25,46,10__0,Team 10,Finishing,33,1,False,0.2160842843788708,Watch,0,0
2015-02-26,47,10__0,Team 10,Finishing,34,1,False,0.2536545727803127,High Risk,1,1
2015-02-28,48,10__0,Team 10,Finishing,35,1,False,0.2643068130982514,High Risk,1,1
2015-03-01,49,10__0,Team 10,Finishing,36,1,False,0.2395837582981232,High Risk,1,0
2015-03-02,50,10__0,Team 10,Finishing,37,2,False,0.2436128832453178,High Risk,1,0
2015-03-03,51,10__0,Team 10,Finishing,38,2,False,0.2483306670929776,High Risk,1,1
2015-03-08,55,10__0,Team 10,Finishing,39,2,False,0.2579582459996171,High Risk,1,1
2015-03-09,56,10__0,Team 10,Finishing,40,2,False,0.0027035130163285,Healthy,0,1
2015-03-10,57,10__0,Team 10,Finishing,41,2,False,0.2904949133433886,High Risk,1,1
2015-03-11,58,10__0,Team 10,Finishing,42,2,False,0.3462581875703812,High Risk,1,1
2015-01-01,0,10__1,Team 10,Sewing,0,0,True,0.3938101955731598,High Risk,1,0
2015-01-03,1,10__1,Team 10,Sewing,1,0,True,0.3237692705828449,High Risk,1,0
2015-01-04,2,10__1,Team 10,Sewing,2,0,True,0.3726614845589523,High Risk,1,0
2015-01-05,3,10__1,Team 10,Sewing,3,0,True,0.3941301433844711,High Risk,1,0
2015-01-06,4,10__1,Team 10,Sewing,4,0,True,0.3883566161662513,High Risk,1,0
2015-01-07,5,10__1,Team 10,Sewing,5,0,True,0.2273706260596449,High Risk,1,0
2015-01-08,6,10__1,Team 10,Sewing,6,0,True,0.2425450343513169,High Risk,1,0
2015-01-10,7,10__1,Team 10,Sewing,7,0,True,0.3335732955408777,High Risk,1,0
2015-01-11,8,10__1,Team 10,Sewing,8,0,False,0.5165882200107608,High Risk,1,0
2015-01-12,9,10__1,Team 10,Sewing,9,0,False,0.5418200144683245,High Risk,1,0
2015-01-13,10,10__1,Team 10,Sewing,10,0,False,0.1591356241767735,Healthy,0,0
2015-01-14,11,10__1,Team 10,Sewing,11,0,False,0.2749465879927819,High Risk,1,0
2015-01-15,12,10__1,Team 10,Sewing,12,0,False,0.3956584805906751,High Risk,1,0
2015-01-17,13,10__1,Team 10,Sewing,13,0,False,0.3791015069251695,High Risk,1,0
2015-01-18,14,10__1,Team 10,Sewing,14,0,False,0.4034220585006875,High Risk,1,0
2015-01-19,15,10__1,Team 10,Sewing,15,0,False,0.2550713563802935,High Risk,1,0
2015-01-20,16,10__1,Team 10,Sewing,16,0,False,0.2512380283111278,High Risk,1,0
2015-01-21,17,10__1,Team 10,Sewing,17,0,False,0.1749667447818541,Watch,0,0
2015-01-22,18,10__1,Team 10,Sewing,18,0,False,0.3621566249347684,High Risk,1,0
2015-01-24,19,10__1,Team 10,Sewing,19,0,False,0.2553954063536938,High Risk,1,0
2015-01-25,20,10__1,Team 10,Sewing,20,0,False,0.2539320595150365,High Risk,1,0
2015-01-26,21,10__1,Team 10,Sewing,21,0,False,0.3623665986314746,High Risk,1,0
2015-01-27,22,10__1,Team 10,Sewing,22,0,False,0.2951140030208032,High Risk,1,0
2015-01-28,23,10__1,Team 10,Sewing,23,0,False,0.3645255656215394,High Risk,1,0
2015-01-29,24,10__1,Team 10,Sewing,24,0,False,0.125416011164148,Healthy,0,0
2015-01-31,25,10__1,Team 10,Sewing,25,0,False,0.1058852234465998,Healthy,0,0
2015-02-01,26,10__1,Team 10,Sewing,26,0,False,0.2108405567012742,Watch,0,0
2015-02-02,27,10__1,Team 10,Sewing,27,0,False,0.0791670593128154,Healthy,0,0
2015-02-03,28,10__1,Team 10,Sewing,28,0,False,0.1361205523951673,Healthy,0,0
2015-02-04,29,10__1,Team 10,Sewing,29,0,False,0.0495527833781621,Healthy,0,0
2015-02-05,30,10__1,Team 10,Sewing,30,0,False,0.0388850253433187,Healthy,0,0
2015-02-07,31,10__1,Team 10,Sewing,31,0,False,0.0782067721361722,Healthy,0,0
2015-02-08,32,10__1,Team 10,Sewing,32,0,False,0.0807403847260042,Healthy,0,0
2015-02-09,33,10__1,Team 10,Sewing,33,0,False,0.0733165291563869,Healthy,0,0
2015-02-10,34,10__1,Team 10,Sewing,34,0,False,0.0601141272047565,Healthy,0,0
2015-02-11,35,10__1,Team 10,Sewing,35,0,False,0.1226054322086651,Healthy,0,0
2015-02-12,36,10__1,Team 10,Sewing,36,0,False,0.6707661787006389,High Risk,1,1
2015-02-16,39,10__1,Team 10,Sewing,37,0,False,0.4361679618509333,High Risk,1,1
2015-02-17,40,10__1,Team 10,Sewing,38,0,False,0.4206575124926673,High Risk,1,1
2015-02-18,41,10__1,Team 10,Sewing,39,1,False,0.5669154229163392,High Risk,1,1
2015-02-19,42,10__1,Team 10,Sewing,40,1,False,0.5764316106476022,High Risk,1,1
2015-02-22,43,10__1,Team 10,Sewing,41,1,False,0.60653866376722,High Risk,1,1
2015-02-23,44,10__1,Team 10,Sewing,42,1,False,0.6086501841150296,High Risk,1,1
2015-02-24,45,10__1,Team 10,Sewing,43,1,False,0.607965839682681,High Risk,1,1
2015-02-25,46,10__1,Team 10,Sewing,44,1,False,0.5959526298250317,High Risk,1,0
2015-02-26,47,10__1,Team 10,Sewing,45,1,False,0.6001048923480113,High Risk,1,0
2015-02-28,48,10__1,Team 10,Sewing,46,1,False,0.30780061528893,High Risk,1,0
2015-03-01,49,10__1,Team 10,Sewing,47,1,False,0.3442161961919955,High Risk,1,0
2015-03-02,50,10__1,Team 10,Sewing,48,2,False,0.3400089547503371,High Risk,1,0
2015-03-03,51,10__1,Team 10,Sewing,49,2,False,0.3480254417988052,High Risk,1,0
2015-03-04,52,10__1,Team 10,Sewing,50,2,False,0.3458813488600643,High Risk,1,0
2015-03-05,53,10__1,Team 10,Sewing,51,2,False,0.3496797366243106,High Risk,1,0
2015-03-07,54,10__1,Team 10,Sewing,52,2,False,0.3537901798601591,High Risk,1,0
2015-03-08,55,10__1,Team 10,Sewing,53,2,False,0.3629807290768702,High Risk,1,0
2015-03-09,56,10__1,Team 10,Sewing,54,2,False,0.3570750165190213,High Risk,1,0
2015-03-10,57,10__1,Team 10,Sewing,55,2,False,0.3846209791175059,High Risk,1,0
2015-03-11,58,10__1,Team 10,Sewing,56,2,False,0.3796555022521184,High Risk,1,0
2015-01-01,0,11__0,Team 11,Finishing,0,0,True,0.5042932990244079,High Risk,1,1
2015-01-03,1,11__0,Team 11,Finishing,1,0,True,0.495043322521882,High Risk,1,0
2015-01-04,2,11__0,Team 11,Finishing,2,0,True,0.521984390487898,High Risk,1,1
2015-01-05,3,11__0,Team 11,Finishing,3,0,True,0.5713378407650316,High Risk,1,0
2015-01-06,4,11__0,Team 11,Finishing,4,0,True,0.4467545205185221,High Risk,1,0
2015-01-08,6,11__0,Team 11,Finishing,5,0,True,0.6119434456516114,High Risk,1,1
2015-01-10,7,11__0,Team 11,Finishing,6,0,True,0.5423593780156667,High Risk,1,0
2015-01-11,8,11__0,Team 11,Finishing,7,0,True,0.5232045284410224,High Risk,1,1
2015-01-12,9,11__0,Team 11,Finishing,8,0,False,0.5227096962168121,High Risk,1,1
2015-01-13,10,11__0,Team 11,Finishing,9,0,False,0.5245705370501593,High Risk,1,1
2015-01-14,11,11__0,Team 11,Finishing,10,0,False,0.5552768513567845,High Risk,1,0
2015-01-17,13,11__0,Team 11,Finishing,11,0,False,0.5359027811461563,High Risk,1,1
2015-01-18,14,11__0,Team 11,Finishing,12,0,False,0.3210178248440468,High Risk,1,0
2015-01-19,15,11__0,Team 11,Finishing,13,0,False,0.4210515640950562,High Risk,1,1
2015-01-20,16,11__0,Team 11,Finishing,14,0,False,0.3337119702399589,High Risk,1,1
2015-01-21,17,11__0,Team 11,Finishing,15,0,False,0.4403812729709943,High Risk,1,1
2015-01-24,19,11__0,Team 11,Finishing,16,0,False,0.4895557235868756,High Risk,1,0
2015-01-28,23,11__0,Team 11,Finishing,17,0,False,0.2441547466858097,High Risk,1,1
2015-01-29,24,11__0,Team 11,Finishing,18,0,False,0.2790133799354665,High Risk,1,0
2015-01-31,25,11__0,Team 11,Finishing,19,0,False,0.4134997963085001,High Risk,1,0
2015-02-15,38,11__0,Team 11,Finishing,20,0,False,0.2629447720092359,High Risk,1,0
2015-02-22,43,11__0,Team 11,Finishing,21,1,False,0.2525690532409543,High Risk,1,0
2015-02-24,45,11__0,Team 11,Finishing,22,1,False,0.3897298027219432,High Risk,1,1
2015-03-05,53,11__0,Team 11,Finishing,23,2,False,0.4218589998726985,High Risk,1,0
2015-03-07,54,11__0,Team 11,Finishing,24,2,False,0.4433290126667237,High Risk,1,1
2015-03-08,55,11__0,Team 11,Finishing,25,2,False,0.4579128042926211,High Risk,1,0
2015-03-09,56,11__0,Team 11,Finishing,26,2,False,0.0351398716380977,Healthy,0,0
2015-03-10,57,11__0,Team 11,Finishing,27,2,False,0.4574846541676017,High Risk,1,0
2015-03-11,58,11__0,Team 11,Finishing,28,2,False,0.4246536425037693,High Risk,1,0
2015-01-01,0,11__1,Team 11,Sewing,0,0,True,0.423506220365638,High Risk,1,0
2015-01-03,1,11__1,Team 11,Sewing,1,0,True,0.4100599407369241,High Risk,1,0
2015-01-04,2,11__1,Team 11,Sewing,2,0,True,0.3948906016339825,High Risk,1,0
2015-01-05,3,11__1,Team 11,Sewing,3,0,True,0.3957953990066849,High Risk,1,0
2015-01-06,4,11__1,Team 11,Sewing,4,0,True,0.3707166148704223,High Risk,1,0
2015-01-07,5,11__1,Team 11,Sewing,5,0,True,0.5038301606789628,High Risk,1,1
2015-01-08,6,11__1,Team 11,Sewing,6,0,True,0.102900518318671,Healthy,0,0
2015-01-10,7,11__1,Team 11,Sewing,7,0,True,0.1920706522098001,Watch,0,0
2015-01-11,8,11__1,Team 11,Sewing,8,0,False,0.3007036374933719,High Risk,1,0
2015-01-12,9,11__1,Team 11,Sewing,9,0,False,0.2884392363923564,High Risk,1,0
2015-01-13,10,11__1,Team 11,Sewing,10,0,False,0.4894951123806375,High Risk,1,1
2015-01-14,11,11__1,Team 11,Sewing,11,0,False,0.1328521708519543,Healthy,0,0
2015-01-15,12,11__1,Team 11,Sewing,12,0,False,0.2663155595610103,High Risk,1,0
2015-01-17,13,11__1,Team 11,Sewing,13,0,False,0.3335164504785765,High Risk,1,0
2015-01-18,14,11__1,Team 11,Sewing,14,0,False,0.3511762662114374,High Risk,1,0
2015-01-19,15,11__1,Team 11,Sewing,15,0,False,0.3564684347959101,High Risk,1,0
2015-01-20,16,11__1,Team 11,Sewing,16,0,False,0.355648481678732,High Risk,1,0
2015-01-21,17,11__1,Team 11,Sewing,17,0,False,0.3486840739840409,High Risk,1,0
2015-01-22,18,11__1,Team 11,Sewing,18,0,False,0.35736218018022,High Risk,1,0
2015-01-24,19,11__1,Team 11,Sewing,19,0,False,0.5021923260112641,High Risk,1,0
2015-01-25,20,11__1,Team 11,Sewing,20,0,False,0.638039335912042,High Risk,1,1
2015-01-26,21,11__1,Team 11,Sewing,21,0,False,0.2168032928836286,Watch,0,0
2015-01-27,22,11__1,Team 11,Sewing,22,0,False,0.415096235734122,High Risk,1,1
2015-01-28,23,11__1,Team 11,Sewing,23,0,False,0.2312168217631028,High Risk,1,0
2015-01-29,24,11__1,Team 11,Sewing,24,0,False,0.2531657876468667,High Risk,1,0
2015-01-31,25,11__1,Team 11,Sewing,25,0,False,0.2917316002267929,High Risk,1,0
2015-02-01,26,11__1,Team 11,Sewing,26,0,False,0.2032750217623756,Watch,0,0
2015-02-02,27,11__1,Team 11,Sewing,27,0,False,0.2285260008146313,High Risk,1,0
2015-02-03,28,11__1,Team 11,Sewing,28,0,False,0.3547949815601943,High Risk,1,0
2015-02-04,29,11__1,Team 11,Sewing,29,0,False,0.2620568881370882,High Risk,1,0
2015-02-05,30,11__1,Team 11,Sewing,30,0,False,0.5572480269971173,High Risk,1,0
2015-02-07,31,11__1,Team 11,Sewing,31,0,False,0.4920086441026722,High Risk,1,0
2015-02-08,32,11__1,Team 11,Sewing,32,0,False,0.5043948962200989,High Risk,1,0
2015-02-09,33,11__1,Team 11,Sewing,33,0,False,0.4371401026985816,High Risk,1,0
2015-02-10,34,11__1,Team 11,Sewing,34,0,False,0.7070333609549371,High Risk,1,0
2015-02-11,35,11__1,Team 11,Sewing,35,0,False,0.1677070190426542,Healthy,0,0
2015-02-12,36,11__1,Team 11,Sewing,36,0,False,0.2769964146361122,High Risk,1,0
2015-02-14,37,11__1,Team 11,Sewing,37,0,False,0.3060286365148306,High Risk,1,0
2015-02-15,38,11__1,Team 11,Sewing,38,0,False,0.4010688780878542,High Risk,1,0
2015-02-16,39,11__1,Team 11,Sewing,39,0,False,0.4231368506536305,High Risk,1,1
2015-02-17,40,11__1,Team 11,Sewing,40,0,False,0.409323364227356,High Risk,1,0
2015-02-18,41,11__1,Team 11,Sewing,41,1,False,0.4252503109152619,High Risk,1,0
2015-02-19,42,11__1,Team 11,Sewing,42,1,False,0.4159041015932814,High Risk,1,0
2015-02-22,43,11__1,Team 11,Sewing,43,1,False,0.5797653741782048,High Risk,1,0
2015-02-23,44,11__1,Team 11,Sewing,44,1,False,0.572680153221252,High Risk,1,0
2015-02-24,45,11__1,Team 11,Sewing,45,1,False,0.4593664155566235,High Risk,1,0
2015-02-25,46,11__1,Team 11,Sewing,46,1,False,0.4529001816788298,High Risk,1,0
2015-02-26,47,11__1,Team 11,Sewing,47,1,False,0.4181238103822819,High Risk,1,0
2015-02-28,48,11__1,Team 11,Sewing,48,1,False,0.3302090863935799,High Risk,1,0
2015-03-01,49,11__1,Team 11,Sewing,49,1,False,0.3748145140309073,High Risk,1,0
2015-03-02,50,11__1,Team 11,Sewing,50,2,False,0.3515019853816331,High Risk,1,0
2015-03-03,51,11__1,Team 11,Sewing,51,2,False,0.3520210254759383,High Risk,1,0
2015-03-04,52,11__1,Team 11,Sewing,52,2,False,0.4313869728274703,High Risk,1,0
2015-03-05,53,11__1,Team 11,Sewing,53,2,False,0.4400991102838885,High Risk,1,0
2015-03-07,54,11__1,Team 11,Sewing,54,2,False,0.4312786858635475,High Risk,1,0
2015-03-08,55,11__1,Team 11,Sewing,55,2,False,0.4607515178386763,High Risk,1,0
2015-03-09,56,11__1,Team 11,Sewing,56,2,False,0.4506701487630725,High Risk,1,0
2015-03-10,57,11__1,Team 11,Sewing,57,2,False,0.4496749362573023,High Risk,1,0
2015-03-11,58,11__1,Team 11,Sewing,58,2,False,0.4226712688198629,High Risk,1,0
2015-01-19,15,12__0,Team 12,Finishing,0,0,True,0.5884672089540132,High Risk,1,0
2015-01-22,18,12__0,Team 12,Finishing,1,0,True,0.4167720920911635,High Risk,1,1
2015-01-24,19,12__0,Team 12,Finishing,2,0,True,0.5197695051271244,High Risk,1,0
2015-01-25,20,12__0,Team 12,Finishing,3,0,True,0.4856417885719045,High Risk,1,0
2015-01-26,21,12__0,Team 12,Finishing,4,0,True,0.4847743501615149,High Risk,1,0
2015-01-27,22,12__0,Team 12,Finishing,5,0,True,0.4682906436162949,High Risk,1,0
2015-01-28,23,12__0,Team 12,Finishing,6,0,True,0.493375542894045,High Risk,1,0
2015-01-29,24,12__0,Team 12,Finishing,7,0,True,0.4178106615945675,High Risk,1,1
2015-01-31,25,12__0,Team 12,Finishing,8,0,False,0.4230091202629552,High Risk,1,0
2015-02-01,26,12__0,Team 12,Finishing,9,0,False,0.4118293680126906,High Risk,1,0
2015-02-02,27,12__0,Team 12,Finishing,10,0,False,0.4124923407041309,High Risk,1,0
2015-02-03,28,12__0,Team 12,Finishing,11,0,False,0.4580058972295522,High Risk,1,0
2015-02-04,29,12__0,Team 12,Finishing,12,0,False,0.4536556670187683,High Risk,1,0
2015-02-05,30,12__0,Team 12,Finishing,13,0,False,0.4554383662800361,High Risk,1,0
2015-02-07,31,12__0,Team 12,Finishing,14,0,False,0.4396634209438798,High Risk,1,0
2015-02-08,32,12__0,Team 12,Finishing,15,0,False,0.4366061583504912,High Risk,1,0
2015-02-09,33,12__0,Team 12,Finishing,16,0,False,0.4247323700265286,High Risk,1,1
2015-02-10,34,12__0,Team 12,Finishing,17,0,False,0.445778947277486,High Risk,1,0
2015-02-11,35,12__0,Team 12,Finishing,18,0,False,0.3784519076679552,High Risk,1,0
2015-02-12,36,12__0,Team 12,Finishing,19,0,False,0.3190648229902542,High Risk,1,0
2015-02-14,37,12__0,Team 12,Finishing,20,0,False,0.3176217712681464,High Risk,1,0
2015-02-15,38,12__0,Team 12,Finishing,21,0,False,0.3348322632787492,High Risk,1,0
2015-02-16,39,12__0,Team 12,Finishing,22,0,False,0.3304005774878833,High Risk,1,0
2015-02-17,40,12__0,Team 12,Finishing,23,0,False,0.3434271480216058,High Risk,1,0
2015-02-18,41,12__0,Team 12,Finishing,24,1,False,0.3232793582375823,High Risk,1,0
2015-02-19,42,12__0,Team 12,Finishing,25,1,False,0.317663179602149,High Risk,1,1
2015-02-22,43,12__0,Team 12,Finishing,26,1,False,0.3207289064331055,High Risk,1,0
2015-02-23,44,12__0,Team 12,Finishing,27,1,False,0.3305697198680899,High Risk,1,0
2015-02-25,46,12__0,Team 12,Finishing,28,1,False,0.2551411561112228,High Risk,1,0
2015-02-26,47,12__0,Team 12,Finishing,29,1,False,0.3227254743734546,High Risk,1,1
2015-02-28,48,12__0,Team 12,Finishing,30,1,False,0.3298822619024572,High Risk,1,1
2015-03-02,50,12__0,Team 12,Finishing,31,2,False,0.3018282755532303,High Risk,1,1
2015-03-03,51,12__0,Team 12,Finishing,32,2,False,0.3086015612764011,High Risk,1,1
2015-03-04,52,12__0,Team 12,Finishing,33,2,False,0.3055269835809274,High Risk,1,0
2015-03-05,53,12__0,Team 12,Finishing,34,2,False,0.3025578330620037,High Risk,1,0
2015-03-07,54,12__0,Team 12,Finishing,35,2,False,0.3006283474635268,High Risk,1,0
2015-03-08,55,12__0,Team 12,Finishing,36,2,False,0.3080740217037782,High Risk,1,0
2015-03-09,56,12__0,Team 12,Finishing,37,2,False,0.0171146762873898,Healthy,0,0
2015-03-10,57,12__0,Team 12,Finishing,38,2,False,0.3099031751663646,High Risk,1,0
2015-03-11,58,12__0,Team 12,Finishing,39,2,False,0.3098086742755515,High Risk,1,0
2015-01-01,0,12__1,Team 12,Sewing,0,0,True,0.3618494294213396,High Risk,1,0
2015-01-03,1,12__1,Team 12,Sewing,1,0,True,0.2960567211871706,High Risk,1,0
2015-01-04,2,12__1,Team 12,Sewing,2,0,True,0.3470099629601471,High Risk,1,0
2015-01-05,3,12__1,Team 12,Sewing,3,0,True,0.346113856653915,High Risk,1,0
2015-01-06,4,12__1,Team 12,Sewing,4,0,True,0.3363711702558682,High Risk,1,0
2015-01-07,5,12__1,Team 12,Sewing,5,0,True,0.3322272333889774,High Risk,1,0
2015-01-08,6,12__1,Team 12,Sewing,6,0,True,0.2938362020203248,High Risk,1,0
2015-01-10,7,12__1,Team 12,Sewing,7,0,True,0.3513275182238463,High Risk,1,0
2015-01-11,8,12__1,Team 12,Sewing,8,0,False,0.3486249184181366,High Risk,1,0
2015-01-12,9,12__1,Team 12,Sewing,9,0,False,0.3510449127641112,High Risk,1,0
2015-01-13,10,12__1,Team 12,Sewing,10,0,False,0.3327080582155277,High Risk,1,0
2015-01-14,11,12__1,Team 12,Sewing,11,0,False,0.3203675200353831,High Risk,1,0
2015-01-15,12,12__1,Team 12,Sewing,12,0,False,0.3422463233435743,High Risk,1,0
2015-01-17,13,12__1,Team 12,Sewing,13,0,False,0.257674243324277,High Risk,1,0
2015-01-18,14,12__1,Team 12,Sewing,14,0,False,0.4261127122435574,High Risk,1,1
2015-01-19,15,12__1,Team 12,Sewing,15,0,False,0.10164451200389,Healthy,0,0
2015-01-20,16,12__1,Team 12,Sewing,16,0,False,0.2133596382503084,Watch,0,0
2015-01-21,17,12__1,Team 12,Sewing,17,0,False,0.3211783302825131,High Risk,1,0
2015-01-22,18,12__1,Team 12,Sewing,18,0,False,0.3291260833316881,High Risk,1,0
2015-01-24,19,12__1,Team 12,Sewing,19,0,False,0.4167487344046188,High Risk,1,0
2015-01-25,20,12__1,Team 12,Sewing,20,0,False,0.3570017150118471,High Risk,1,0
2015-01-26,21,12__1,Team 12,Sewing,21,0,False,0.355198978962206,High Risk,1,0
2015-01-27,22,12__1,Team 12,Sewing,22,0,False,0.3469757352931892,High Risk,1,0
2015-01-28,23,12__1,Team 12,Sewing,23,0,False,0.3711118980133252,High Risk,1,0
2015-01-29,24,12__1,Team 12,Sewing,24,0,False,0.2913913045051618,High Risk,1,0
2015-01-31,25,12__1,Team 12,Sewing,25,0,False,0.3002932535009608,High Risk,1,0
2015-02-01,26,12__1,Team 12,Sewing,26,0,False,0.3225076549320437,High Risk,1,0
2015-02-02,27,12__1,Team 12,Sewing,27,0,False,0.1725841801850949,Watch,0,0
2015-02-03,28,12__1,Team 12,Sewing,28,0,False,0.3674213332067368,High Risk,1,0
2015-02-04,29,12__1,Team 12,Sewing,29,0,False,0.4453152757947231,High Risk,1,0
2015-02-05,30,12__1,Team 12,Sewing,30,0,False,0.4238106536076664,High Risk,1,0
2015-02-07,31,12__1,Team 12,Sewing,31,0,False,0.2713394389196494,High Risk,1,0
2015-02-08,32,12__1,Team 12,Sewing,32,0,False,0.2803805629945733,High Risk,1,0
2015-02-09,33,12__1,Team 12,Sewing,33,0,False,0.28654897268102,High Risk,1,0
2015-02-10,34,12__1,Team 12,Sewing,34,0,False,0.3876077638600108,High Risk,1,0
2015-02-11,35,12__1,Team 12,Sewing,35,0,False,0.3876393086265489,High Risk,1,0
2015-02-12,36,12__1,Team 12,Sewing,36,0,False,0.382741712407656,High Risk,1,0
2015-02-14,37,12__1,Team 12,Sewing,37,0,False,0.2813403337588868,High Risk,1,0
2015-02-15,38,12__1,Team 12,Sewing,38,0,False,0.3819065651793812,High Risk,1,0
2015-02-16,39,12__1,Team 12,Sewing,39,0,False,0.4657175777991184,High Risk,1,0
2015-02-17,40,12__1,Team 12,Sewing,40,0,False,0.459733006593501,High Risk,1,0
2015-02-18,41,12__1,Team 12,Sewing,41,1,False,0.2851327941810231,High Risk,1,0
2015-02-19,42,12__1,Team 12,Sewing,42,1,False,0.4428105493822386,High Risk,1,0
2015-02-22,43,12__1,Team 12,Sewing,43,1,False,0.2931116527182044,High Risk,1,0
2015-02-23,44,12__1,Team 12,Sewing,44,1,False,0.2951626592803535,High Risk,1,0
2015-02-24,45,12__1,Team 12,Sewing,45,1,False,0.3936069545108723,High Risk,1,0
2015-02-25,46,12__1,Team 12,Sewing,46,1,False,0.3916981012182486,High Risk,1,0
2015-02-26,47,12__1,Team 12,Sewing,47,1,False,0.2907896685198692,High Risk,1,0
2015-02-28,48,12__1,Team 12,Sewing,48,1,False,0.2856018180791976,High Risk,1,0
2015-03-01,49,12__1,Team 12,Sewing,49,1,False,0.2479269298296866,High Risk,1,0
2015-03-02,50,12__1,Team 12,Sewing,50,2,False,0.2520148313146119,High Risk,1,0
2015-03-03,51,12__1,Team 12,Sewing,51,2,False,0.3484154409304002,High Risk,1,0
2015-03-04,52,12__1,Team 12,Sewing,52,2,False,0.3484154678476917,High Risk,1,0
2015-03-05,53,12__1,Team 12,Sewing,53,2,False,0.3474088490339094,High Risk,1,0
2015-03-07,54,12__1,Team 12,Sewing,54,2,False,0.1713699565285925,Watch,0,0
2015-03-08,55,12__1,Team 12,Sewing,55,2,False,0.2608039229493434,High Risk,1,0
2015-03-09,56,12__1,Team 12,Sewing,56,2,False,0.2587706143983352,High Risk,1,0
2015-03-10,57,12__1,Team 12,Sewing,57,2,False,0.2622141904294969,High Risk,1,0
2015-03-11,58,12__1,Team 12,Sewing,58,2,False,0.3020718945667137,High Risk,1,0
2015-01-01,0,1__0,Team 1,Finishing,0,0,True,0.5549490168183792,High Risk,1,0
2015-01-03,1,1__0,Team 1,Finishing,1,0,True,0.5463761535674495,High Risk,1,0
2015-01-04,2,1__0,Team 1,Finishing,2,0,True,0.4954582816526275,High Risk,1,0
2015-01-05,3,1__0,Team 1,Finishing,3,0,True,0.4562010823931818,High Risk,1,0
2015-01-06,4,1__0,Team 1,Finishing,4,0,True,0.3964144674649676,High Risk,1,0
2015-01-07,5,1__0,Team 1,Finishing,5,0,True,0.3614959658235129,High Risk,1,0
2015-01-08,6,1__0,Team 1,Finishing,6,0,True,0.3373887641966815,High Risk,1,0
2015-01-10,7,1__0,Team 1,Finishing,7,0,True,0.3123558926734557,High Risk,1,0
2015-01-11,8,1__0,Team 1,Finishing,8,0,False,0.2656014422365739,High Risk,1,0
