feature,split,rows,train_q1,train_q3,train_iqr,iqr_multiplier,train_lower_bound,train_upper_bound,split_min,split_max,extreme_value_count,extreme_value_percent
163,validation,235,0.092,0.15,0.057999999999999996,3.0,-0.08199999999999999,0.32399999999999995,0.006,0.284,0,0.0
163,test,236,0.092,0.15,0.057999999999999996,3.0,-0.08199999999999999,0.32399999999999995,0.024,0.945,6,2.542372881355932
435,train,1096,3.5179,5.6826,2.1647,3.0,-2.9761999999999995,12.1767,0.0,400.0,31,2.8284671532846715
435,validation,235,3.5179,5.6826,2.1647,3.0,-2.9761999999999995,12.1767,1.1018,11.42,0,0.0
435,test,236,3.5179,5.6826,2.1647,3.0,-2.9761999999999995,12.1767,0.3872,400.0,8,3.389830508474576
22,train,1096,2595.125,2965.5625,370.4375,3.0,1483.8125,4076.875,0.0,3656.25,11,1.0036496350364963
22,validation,235,2595.125,2965.5625,370.4375,3.0,1483.8125,4076.875,2365.75,3395.25,0,0.0
22,test,236,2595.125,2965.5625,370.4375,3.0,1483.8125,4076.875,609.5,3613.75,4,1.694915254237288
436,train,1096,1.9635250000000002,3.7881750000000003,1.82465,3.0,-3.510425,9.262125000000001,0.0,400.0,27,2.4635036496350367
436,validation,235,1.9635250000000002,3.7881750000000003,1.82465,3.0,-3.510425,9.262125000000001,0.1787,7.1615,0,0.0
436,test,236,1.9635250000000002,3.7881750000000003,1.82465,3.0,-3.510425,9.262125000000001,0.4976,400.0,7,2.9661016949152543
64,train,1096,16.965024999999997,22.753149999999998,5.788125000000001,3.0,-0.3993500000000054,40.117525,6.4482,48.9882,6,0.5474452554744526
64,validation,235,16.965024999999997,22.753149999999998,5.788125000000001,3.0,-0.3993500000000054,40.117525,12.97,29.4318,0,0.0
64,test,236,16.965024999999997,22.753149999999998,5.788125000000001,3.0,-0.3993500000000054,40.117525,10.7473,39.5164,0,0.0
310,train,1096,0.2742,0.324,0.04980000000000001,3.0,0.12479999999999997,0.47340000000000004,0.1809,0.4438,0,0.0
310,validation,235,0.2742,0.324,0.04980000000000001,3.0,0.12479999999999997,0.47340000000000004,0.2269,0.4313,0,0.0
310,test,236,0.2742,0.324,0.04980000000000001,3.0,0.12479999999999997,0.47340000000000004,0.2047,0.4313,0,0.0
175,train,1096,0.69,0.822825,0.13282500000000008,3.0,0.2915249999999997,1.2213000000000003,0.4616,1.172,0,0.0
175,validation,235,0.69,0.822825,0.13282500000000008,3.0,0.2915249999999997,1.2213000000000003,0.6009,1.1437,0,0.0
175,test,236,0.69,0.822825,0.13282500000000008,3.0,0.2915249999999997,1.2213000000000003,0.5005,1.1437,0,0.0
114,train,1096,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0414,14,1.2773722627737227
114,validation,235,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0058,4,1.702127659574468
114,test,236,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0316,4,1.694915254237288
117,train,1096,57.961675,59.10165,1.1399749999999997,3.0,54.54175,62.521575,52.8068,61.5356,4,0.36496350364963503
117,validation,235,57.961675,59.10165,1.1399749999999997,3.0,54.54175,62.521575,55.0432,61.3327,0,0.0
117,test,236,57.961675,59.10165,1.1399749999999997,3.0,54.54175,62.521575,53.6201,311.7344,3,1.271186440677966
446,train,1096,1.0444,1.24145,0.19704999999999995,3.0,0.45325000000000015,1.8325999999999998,0.6968,1.7639,0,0.0
446,validation,235,1.0444,1.24145,0.19704999999999995,3.0,0.45325000000000015,1.8325999999999998,0.9083,1.7236,0,0.0
446,test,236,1.0444,1.24145,0.19704999999999995,3.0,0.45325000000000015,1.8325999999999998,0.7589,1.7236,0,0.0
249,train,1096,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4138,14,1.2773722627737227
249,validation,235,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.032,4,1.702127659574468
249,test,236,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3161,4,1.694915254237288
387,train,1096,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1309,14,1.2773722627737227
387,validation,235,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0102,4,1.702127659574468
387,test,236,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0999,4,1.694915254237288
437,train,1096,3.0734500000000002,4.5356,1.4621499999999994,3.0,-1.312999999999998,8.922049999999999,1.1568,32.274,6,0.5474452554744526
437,validation,235,3.0734500000000002,4.5356,1.4621499999999994,3.0,-1.312999999999998,8.922049999999999,1.6898,26.3966,1,0.425531914893617
437,test,236,3.0734500000000002,4.5356,1.4621499999999994,3.0,-1.312999999999998,8.922049999999999,1.3571,8.293,0,0.0
180,train,1096,16.7475,20.66,3.9125000000000014,3.0,5.0099999999999945,32.39750000000001,10.13,48.67,1,0.09124087591240876
180,validation,235,16.7475,20.66,3.9125000000000014,3.0,5.0099999999999945,32.39750000000001,9.4,33.78,1,0.425531914893617
180,test,236,16.7475,20.66,3.9125000000000014,3.0,5.0099999999999945,32.39750000000001,11.02,28.9,0,0.0
299,train,1096,0.0302,0.0503,0.020099999999999996,3.0,-0.03009999999999999,0.11059999999999999,0.0,1.0312,29,2.645985401459854
299,validation,235,0.0302,0.0503,0.020099999999999996,3.0,-0.03009999999999999,0.11059999999999999,0.0095,0.1044,0,0.0
299,test,236,0.0302,0.0503,0.020099999999999996,3.0,-0.03009999999999999,0.11059999999999999,0.0032,1.0255,7,2.9661016949152543
294,train,1096,183.317325,427.926825,244.6095,3.0,-550.511175,1161.755325,0.0,3904.2719,52,4.744525547445256
294,validation,235,183.317325,427.926825,244.6095,3.0,-550.511175,1161.755325,55.7038,1816.7802,4,1.702127659574468
294,test,236,183.317325,427.926825,244.6095,3.0,-550.511175,1161.755325,12.842,3933.755,9,3.8135593220338984
31,train,1096,3.374375,4.600975,1.2266,3.0,-0.3054249999999996,8.280775,2.1791,4.7572,0,0.0
31,validation,235,3.374375,4.600975,1.2266,3.0,-0.3054249999999996,8.280775,3.2001,4.6988,0,0.0
31,test,236,3.374375,4.600975,1.2266,3.0,-0.3054249999999996,8.280775,2.0698,4.8044,0,0.0
33,train,1096,8.5855,9.1156,0.5301000000000009,3.0,6.995199999999997,10.705900000000003,8.1409,23.3453,18,1.6423357664233578
33,validation,235,8.5855,9.1156,0.5301000000000009,3.0,6.995199999999997,10.705900000000003,8.0787,13.5481,4,1.702127659574468
33,test,236,8.5855,9.1156,0.5301000000000009,3.0,6.995199999999997,10.705900000000003,7.6032,13.5481,2,0.847457627118644
164,train,1096,0.069,0.1119999999999999,0.0429999999999999,3.0,-0.05999999999999969,0.2409999999999996,0.0,1.817,30,2.7372262773722627
164,validation,235,0.069,0.1119999999999999,0.0429999999999999,3.0,-0.05999999999999969,0.2409999999999996,0.022,0.228,0,0.0
164,test,236,0.069,0.1119999999999999,0.0429999999999999,3.0,-0.05999999999999969,0.2409999999999996,0.0069999999999999,1.7990000000000002,7,2.9661016949152543
300,train,1096,0.0582,0.110125,0.051925,3.0,-0.097575,0.2659,0.0,1.8123,28,2.5547445255474455
300,validation,235,0.0582,0.110125,0.051925,3.0,-0.097575,0.2659,0.0062,0.2312,0,0.0
300,test,236,0.0582,0.110125,0.051925,3.0,-0.097575,0.2659,0.0111,1.8066,6,2.542372881355932
127,train,1096,0.565,0.6884250000000001,0.12342500000000012,3.0,0.1947249999999996,1.0587000000000004,0.3273,1.175,6,0.5474452554744526
127,validation,235,0.565,0.6884250000000001,0.12342500000000012,3.0,0.1947249999999996,1.0587000000000004,0.4049,0.9902,0,0.0
127,test,236,0.565,0.6884250000000001,0.12342500000000012,3.0,0.1947249999999996,1.0587000000000004,0.3161,0.9524,0,0.0
295,train,1096,144.45385,288.799825,144.345975,3.0,-288.58407500000004,721.83775,0.0,2005.8744,54,4.927007299270073
295,validation,235,144.45385,288.799825,144.345975,3.0,-288.58407500000004,721.83775,18.1567,2004.8779,2,0.851063829787234
295,test,236,144.45385,288.799825,144.345975,3.0,-288.58407500000004,721.83775,13.6229,1833.8209,6,2.542372881355932
159,train,1096,404.75,954.25,549.5,3.0,-1243.75,2602.75,0.0,7791.0,47,4.288321167883212
159,validation,235,404.75,954.25,549.5,3.0,-1243.75,2602.75,122.0,4361.0,4,1.702127659574468
159,test,236,404.75,954.25,549.5,3.0,-1243.75,2602.75,31.0,7599.0,9,3.8135593220338984
452,train,1096,4.677775,5.827125,1.14935,3.0,1.2297249999999993,9.275175,2.8514,13.9776,1,0.09124087591240876
452,validation,235,4.677775,5.827125,1.14935,3.0,1.2297249999999993,9.275175,2.6709,9.6853,1,0.425531914893617
452,test,236,4.677775,5.827125,1.14935,3.0,1.2297249999999993,9.275175,3.1265,7.7487,0,0.0
165,train,1096,0.128,0.245,0.11699999999999999,3.0,-0.22299999999999998,0.596,0.0,3.286,28,2.5547445255474455
165,validation,235,0.128,0.245,0.11699999999999999,3.0,-0.22299999999999998,0.596,0.013,0.514,0,0.0
165,test,236,0.128,0.245,0.11699999999999999,3.0,-0.22299999999999998,0.596,0.027,3.187,6,2.542372881355932
471,train,1096,5.94045,9.464225,3.5237750000000005,3.0,-4.630875000000001,20.03555,2.4026,158.1332,74,6.751824817518248
471,validation,235,5.94045,9.464225,3.5237750000000005,3.0,-4.630875000000001,20.03555,3.4111,33.4728,7,2.978723404255319
471,test,236,5.94045,9.464225,3.5237750000000005,3.0,-4.630875000000001,20.03555,2.592,212.6557,35,14.830508474576272
337,train,1096,1.50645,2.6725000000000003,1.1660500000000003,3.0,-1.9917000000000007,6.170650000000001,0.0,38.3676,8,0.7299270072992701
337,validation,235,1.50645,2.6725000000000003,1.1660500000000003,3.0,-1.9917000000000007,6.170650000000001,0.8015,6.1743,1,0.425531914893617
337,test,236,1.50645,2.6725000000000003,1.1660500000000003,3.0,-1.9917000000000007,6.170650000000001,0.5373,38.8995,3,1.271186440677966
122,train,1096,3.263,4.281000000000001,1.0180000000000007,3.0,0.20899999999999785,7.335000000000003,1.877,6.888999999999999,0,0.0
122,validation,235,3.263,4.281000000000001,1.0180000000000007,3.0,0.20899999999999785,7.335000000000003,2.418,6.355,0,0.0
122,test,236,3.263,4.281000000000001,1.0180000000000007,3.0,0.20899999999999785,7.335000000000003,1.671,5.244,0,0.0
166,train,1096,2.1,3.1,1.0,3.0,-0.8999999999999999,6.1,0.8,21.1,7,0.6386861313868614
166,validation,235,2.1,3.1,1.0,3.0,-0.8999999999999999,6.1,1.2,18.9,1,0.425531914893617
166,test,236,2.1,3.1,1.0,3.0,-0.8999999999999999,6.1,1.0,6.1,0,0.0
301,train,1096,0.7053,0.994,0.28869999999999996,3.0,-0.16079999999999983,1.8600999999999999,0.31,5.3602,9,0.8211678832116789
301,validation,235,0.7053,0.994,0.28869999999999996,3.0,-0.16079999999999983,1.8600999999999999,0.4126,5.711,1,0.425531914893617
301,test,236,0.7053,0.994,0.28869999999999996,3.0,-0.16079999999999983,1.8600999999999999,0.3822,1.9149,1,0.423728813559322
102,train,1096,-0.0376,0.035050000000000005,0.07265,3.0,-0.25555000000000005,0.25300000000000006,-0.5353,0.2625,4,0.36496350364963503
102,validation,235,-0.0376,0.035050000000000005,0.07265,3.0,-0.25555000000000005,0.25300000000000006,-0.1651,0.2309,0,0.0
102,test,236,-0.0376,0.035050000000000005,0.07265,3.0,-0.25555000000000005,0.25300000000000006,-0.1277,0.2979,1,0.423728813559322
58,train,1096,4.53205,4.6613,0.12924999999999986,3.0,4.1443,5.049049999999999,4.2199,4.8475,0,0.0
58,validation,235,4.53205,4.6613,0.12924999999999986,3.0,4.1443,5.049049999999999,4.4504,4.8475,0,0.0
58,test,236,4.53205,4.6613,0.12924999999999986,3.0,4.1443,5.049049999999999,4.2234,4.8019,0,0.0
281,train,1096,0.0121,0.017,0.004900000000000002,3.0,-0.002600000000000005,0.031700000000000006,0.0071,0.0597,26,2.372262773722628
281,validation,235,0.0121,0.017,0.004900000000000002,3.0,-0.002600000000000005,0.031700000000000006,0.0069,0.0471,2,0.851063829787234
281,test,236,0.0121,0.017,0.004900000000000002,3.0,-0.002600000000000005,0.031700000000000006,0.0073,0.0355,2,0.847457627118644
160,train,1096,325.0,653.25,328.25,3.0,-659.75,1638.0,0.0,4170.0,53,4.835766423357664
160,validation,235,325.0,653.25,328.25,3.0,-659.75,1638.0,41.0,4099.0,2,0.851063829787234
160,test,236,325.0,653.25,328.25,3.0,-659.75,1638.0,28.0,3635.0,6,2.542372881355932
26,train,1096,1.8935,2.0023,0.10880000000000001,3.0,1.5671,2.3287,0.0,2.0528,31,2.8284671532846715
26,validation,235,1.8935,2.0023,0.10880000000000001,3.0,1.5671,2.3287,1.8657,2.0335,0,0.0
26,test,236,1.8935,2.0023,0.10880000000000001,3.0,1.5671,2.3287,0.4138,2.0513,8,3.389830508474576
475,train,1096,3.5246250000000003,4.767575,1.2429499999999996,3.0,-0.20422499999999832,8.496424999999999,1.1011,39.3528,6,0.5474452554744526
475,validation,235,3.5246250000000003,4.767575,1.2429499999999996,3.0,-0.20422499999999832,8.496424999999999,2.2579,5.8571,0,0.0
475,test,236,3.5246250000000003,4.767575,1.2429499999999996,3.0,-0.20422499999999832,8.496424999999999,1.2417,79.1162,2,0.847457627118644
56,train,1096,0.9252,0.9332,0.008000000000000007,3.0,0.9012,0.9572,0.8759,0.9378,8,0.7299270072992701
56,validation,235,0.9252,0.9332,0.008000000000000007,3.0,0.9012,0.9572,0.9148,0.9376,0,0.0
56,test,236,0.9252,0.9332,0.008000000000000007,3.0,0.9012,0.9572,0.8755,0.9359,1,0.423728813559322
247,train,1096,0.0244,0.039325,0.014924999999999997,3.0,-0.020374999999999994,0.0841,0.0,0.4914,122,11.13138686131387
247,validation,235,0.0244,0.039325,0.014924999999999997,3.0,-0.020374999999999994,0.0841,0.0,0.0629,0,0.0
247,test,236,0.0244,0.039325,0.014924999999999997,3.0,-0.020374999999999994,0.0841,0.0,0.4793,7,2.9661016949152543
255,train,1096,0.351625,0.49455,0.14292499999999997,3.0,-0.07714999999999989,0.923325,0.1479,0.8278,0,0.0
255,validation,235,0.351625,0.49455,0.14292499999999997,3.0,-0.07714999999999989,0.923325,0.1409,0.6117,0,0.0
255,test,236,0.351625,0.49455,0.14292499999999997,3.0,-0.07714999999999989,0.923325,0.1269,0.9255,1,0.423728813559322
527,train,1096,5.6068750000000005,7.835125,2.228249999999999,3.0,-1.077874999999997,14.519874999999997,2.4005,12.749,0,0.0
527,validation,235,5.6068750000000005,7.835125,2.228249999999999,3.0,-1.077874999999997,14.519874999999997,2.2172,9.8875,0,0.0
527,test,236,5.6068750000000005,7.835125,2.228249999999999,3.0,-1.077874999999997,14.519874999999997,2.17,14.4479,0,0.0
65,train,1096,22.777124999999998,29.898775,7.1216500000000025,3.0,1.4121749999999906,51.26372500000001,8.7636,96.3465,8,0.7299270072992701
65,validation,235,22.777124999999998,29.898775,7.1216500000000025,3.0,1.4121749999999906,51.26372500000001,4.308,36.7408,0,0.0
65,test,236,22.777124999999998,29.898775,7.1216500000000025,3.0,1.4121749999999906,51.26372500000001,14.0352,118.0836,2,0.847457627118644
519,train,1096,5.316625,8.482574999999999,3.1659499999999987,3.0,-4.181224999999996,17.980424999999997,0.0,108.754,122,11.13138686131387
519,validation,235,5.316625,8.482574999999999,3.1659499999999987,3.0,-4.181224999999996,17.980424999999997,0.0,13.398,0,0.0
519,test,236,5.316625,8.482574999999999,3.1659499999999987,3.0,-4.181224999999996,17.980424999999997,0.0,184.3488,8,3.389830508474576
28,train,1096,67.030525,70.5333,3.5027749999999997,3.0,56.5222,81.041625,59.4,77.9,0,0.0
28,validation,235,67.030525,70.5333,3.5027749999999997,3.0,56.5222,81.041625,61.2111,77.0889,0,0.0
28,test,236,67.030525,70.5333,3.5027749999999997,3.0,56.5222,81.041625,61.3333,77.3444,0,0.0
203,train,1096,24.851499999999998,33.62925,8.777750000000001,3.0,-1.4817500000000052,59.962500000000006,7.728,283.42900000000003,6,0.5474452554744526
203,validation,235,24.851499999999998,33.62925,8.777750000000001,3.0,-1.4817500000000052,59.962500000000006,16.059,40.919,0,0.0
203,test,236,24.851499999999998,33.62925,8.777750000000001,3.0,-1.4817500000000052,59.962500000000006,8.613,500.349,2,0.847457627118644
433,train,1096,9.00665,285.66880000000003,276.66215000000005,3.0,-820.9798000000001,1115.6552500000003,0.0,993.0314,0,0.0
433,validation,235,9.00665,285.66880000000003,276.66215000000005,3.0,-820.9798000000001,1115.6552500000003,0.0,977.1353,0,0.0
433,test,236,9.00665,285.66880000000003,276.66215000000005,3.0,-820.9798000000001,1115.6552500000003,0.0,995.7447,0,0.0
121,train,1096,15.75,15.88,0.13000000000000078,3.0,15.359999999999998,16.270000000000003,15.46,16.07,0,0.0
121,validation,235,15.75,15.88,0.13000000000000078,3.0,15.359999999999998,16.270000000000003,15.58,16.0,0,0.0
121,test,236,15.75,15.88,0.13000000000000078,3.0,15.359999999999998,16.270000000000003,15.5,15.95,0,0.0
146,train,1096,0.043075,0.063025,0.019949999999999996,3.0,-0.016774999999999984,0.12287499999999998,0.0227,0.2479,23,2.0985401459854014
146,validation,235,0.043075,0.063025,0.019949999999999996,3.0,-0.016774999999999984,0.12287499999999998,0.026,0.2091,2,0.851063829787234
146,test,236,0.043075,0.063025,0.019949999999999996,3.0,-0.016774999999999984,0.12287499999999998,0.0232,0.1618,1,0.423728813559322
582,train,1096,0.4978,0.5023,0.0044999999999999485,3.0,0.4843000000000002,0.5157999999999998,0.48,0.5098,1,0.09124087591240876
582,validation,235,0.4978,0.5023,0.0044999999999999485,3.0,0.4843000000000002,0.5157999999999998,0.4778,0.5092,1,0.425531914893617
582,test,236,0.4978,0.5023,0.0044999999999999485,3.0,0.4843000000000002,0.5157999999999998,0.4915,0.5095,0,0.0
278,train,1096,0.0009,0.0013,0.00039999999999999996,3.0,-0.0002999999999999999,0.0024999999999999996,0.0005,0.0034,2,0.18248175182481752
278,validation,235,0.0009,0.0013,0.00039999999999999996,3.0,-0.0002999999999999999,0.0024999999999999996,0.0005,0.0019,0,0.0
278,test,236,0.0009,0.0013,0.00039999999999999996,3.0,-0.0002999999999999999,0.0024999999999999996,0.0,0.0019,0,0.0
200,train,1096,14.434999999999999,20.205,5.77,3.0,-2.875,37.515,3.21,199.62,4,0.36496350364963503
200,validation,235,14.434999999999999,20.205,5.77,3.0,-2.875,37.515,3.56,30.24,0,0.0
200,test,236,14.434999999999999,20.205,5.77,3.0,-2.875,37.515,5.18,183.66,1,0.423728813559322
575,train,1096,0.0745,0.1118,0.0373,3.0,-0.0374,0.2237,0.023,0.5502,52,4.744525547445256
575,validation,235,0.0745,0.1118,0.0373,3.0,-0.0374,0.2237,0.0459,0.5502,13,5.531914893617022
575,test,236,0.0745,0.1118,0.0373,3.0,-0.0374,0.2237,0.0358,0.3247,6,2.542372881355932
573,train,1096,0.237675,0.36077499999999996,0.12309999999999996,3.0,-0.13162499999999985,0.7300749999999998,0.0667,2.1967,54,4.927007299270073
573,validation,235,0.237675,0.36077499999999996,0.12309999999999996,3.0,-0.13162499999999985,0.7300749999999998,0.1387,2.1967,13,5.531914893617022
573,test,236,0.237675,0.36077499999999996,0.12309999999999996,3.0,-0.13162499999999985,0.7300749999999998,0.1166,1.2113,6,2.542372881355932
484,train,1096,77.1377,319.09275,241.95505000000003,3.0,-648.7274500000001,1044.9579,0.0,996.8586,0,0.0
484,validation,235,77.1377,319.09275,241.95505000000003,3.0,-648.7274500000001,1044.9579,0.0,957.1429,0,0.0
484,test,236,77.1377,319.09275,241.95505000000003,3.0,-648.7274500000001,1044.9579,0.0,980.0643,0,0.0
14,train,1096,7.1123,10.829225,3.716924999999999,3.0,-4.038474999999996,21.979999999999997,2.2493,19.5465,0,0.0
14,validation,235,7.1123,10.829225,3.716924999999999,3.0,-4.038474999999996,21.979999999999997,2.9146,15.2879,0,0.0
14,test,236,7.1123,10.829225,3.716924999999999,3.0,-4.038474999999996,21.979999999999997,2.9405,18.0388,0,0.0
488,train,1096,173.1093,510.7306,337.6213,3.0,-839.7546000000001,1523.5945000000002,0.0,983.7535,0,0.0
488,validation,235,173.1093,510.7306,337.6213,3.0,-839.7546000000001,1523.5945000000002,0.0,997.5186,0,0.0
488,test,236,173.1093,510.7306,337.6213,3.0,-839.7546000000001,1523.5945000000002,0.0,994.2094,0,0.0
75,train,1096,-0.021225,0.00575,0.026975,3.0,-0.10214999999999999,0.086675,-0.1049,0.2315,3,0.2737226277372263
75,validation,235,-0.021225,0.00575,0.026975,3.0,-0.10214999999999999,0.086675,-0.0486,0.0589,0,0.0
75,test,236,-0.021225,0.00575,0.026975,3.0,-0.10214999999999999,0.086675,-0.0456,0.0407,0,0.0
196,train,1096,4.9,9.34,4.4399999999999995,3.0,-8.419999999999998,22.659999999999997,1.83,396.11,12,1.094890510948905
196,validation,235,4.9,9.34,4.4399999999999995,3.0,-8.419999999999998,22.659999999999997,2.73,23.05,1,0.425531914893617
196,test,236,4.9,9.34,4.4399999999999995,3.0,-8.419999999999998,22.659999999999997,1.75,247.41,3,1.271186440677966
393,train,1096,0.118075,0.165075,0.047,3.0,-0.022925000000000015,0.306075,0.0488,0.2994,0,0.0
393,validation,235,0.118075,0.165075,0.047,3.0,-0.022925000000000015,0.306075,0.0508,0.1996,0,0.0
393,test,236,0.118075,0.165075,0.047,3.0,-0.022925000000000015,0.306075,0.0342,0.2622,0,0.0
70,train,1096,612.1695500000001,625.169325,12.999774999999886,3.0,573.1702250000004,664.1686499999996,581.7773,722.6018,1,0.09124087591240876
70,validation,235,612.1695500000001,625.169325,12.999774999999886,3.0,573.1702250000004,664.1686499999996,603.11,637.8373,0,0.0
70,test,236,612.1695500000001,625.169325,12.999774999999886,3.0,573.1702250000004,664.1686499999996,588.2882,642.3273,0,0.0
521,train,1096,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1000.0,13,1.186131386861314
521,validation,235,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1000.0,4,1.702127659574468
521,test,236,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1000.0,4,1.694915254237288
511,train,1096,0.0,563.6015500000001,563.6015500000001,3.0,-1690.8046500000003,2254.4062000000004,0.0,1000.0,0,0.0
511,validation,235,0.0,563.6015500000001,563.6015500000001,3.0,-1690.8046500000003,2254.4062000000004,0.0,1000.0,0,0.0
511,test,236,0.0,563.6015500000001,563.6015500000001,3.0,-1690.8046500000003,2254.4062000000004,0.0,1000.0,0,0.0
143,train,1096,0.0033,0.0048,0.0014999999999999996,3.0,-0.0011999999999999988,0.0093,0.0021,0.0119,1,0.09124087591240876
143,validation,235,0.0033,0.0048,0.0014999999999999996,3.0,-0.0011999999999999988,0.0093,0.0018,0.0121,1,0.425531914893617
143,test,236,0.0033,0.0048,0.0014999999999999996,3.0,-0.0011999999999999988,0.0093,0.0,0.0121,3,1.271186440677966
32,train,1096,84.6614,85.7419,1.0805000000000007,3.0,81.4199,88.9834,83.2054,103.1082,19,1.7335766423357664
32,validation,235,84.6614,85.7419,1.0805000000000007,3.0,81.4199,88.9834,83.1829,93.8653,6,2.5531914893617023
32,test,236,84.6614,85.7419,1.0805000000000007,3.0,81.4199,88.9834,83.1829,105.6038,2,0.847457627118644
