feature,training_center_median,training_iqr_scale,scaled_train_median,scaled_train_q1,scaled_train_q3
558,0.9705,0.03620000000000001,0.0,-0.475138121546961,0.524861878453039
469,5.4388,1.1537749999999996,0.0,-0.5128599596975145,0.48714004030248587
551,1.2,0.3700000000000001,0.0,-0.6486486486486485,0.35135135135135154
554,0.4988,0.15410000000000001,0.0,-0.6818624269954575,0.3181375730045422
302,0.37045,0.17859999999999998,0.0,-0.47116461366181417,0.5288353863381858
280,0.017,0.0072000000000001,0.0,-0.41666666666667496,0.583333333333325
317,0.166,0.10342499999999999,0.0,-0.4725646603819194,0.5274353396180808
100,0.0,0.0004,0.0,-0.5,0.5
130,0.7573,0.1082749999999999,0.0,-0.531747864234588,0.4682521357654123
385,0.0071,0.0021000000000000003,0.0,-0.4285714285714288,0.5714285714285712
167,1.1,0.4999999999999999,0.0,-0.40000000000000024,0.5999999999999998
408,4.9243,1.7035,0.0,-0.4886997358379804,0.5113002641620197
135,109.0,37.25,0.0,-0.4899328859060403,0.5100671140939598
188,40.056,32.54075,0.0,-0.4865284297380975,0.5134715702619025
359,0.0194,0.011500000000000002,0.0,-0.5043478260869566,0.49565217391304345
63,13.33315,5.869475000000003,0.0,-0.46284804007172675,0.5371519599282729
145,0.0596,0.0264,0.0,-0.4412878787878788,0.5587121212121213
344,23.8837,10.632925,0.0,-0.5058909001991456,0.49410909980085427
333,5.9883,1.109300000000001,0.0,-0.4877174794915707,0.5122825205084286
477,5.4442,2.7292500000000013,0.0,-0.4137308784464597,0.58626912155354
480,74.3834,45.64229999999999,0.0,-0.41376365783494684,0.5862363421650533
126,2.7260000000000004,0.2795000000000001,0.0,-0.522361359570663,0.4776386404293366
208,74.994,33.67575000000001,0.0,-0.5053784993652702,0.4946215006347296
90,8822.1651,496.92502500000046,0.0,-0.5206623977128138,0.47933760228718447
198,0.415,0.39125000000000004,0.0,-0.29904153354632584,0.7009584664536742
40,77.89,6.150000000000006,0.0,-0.7430894308943095,0.25691056910569054
460,26.47,15.178799999999999,0.0,-0.3988325822858197,0.6011674177141801
201,6.52,4.387499999999999,0.0,-0.3720797720797721,0.627920227920228
202,7.972999999999999,5.52,0.0,-0.38070652173913017,0.6192934782608698
205,7.97,4.042499999999999,0.0,-0.4056895485466915,0.5943104514533087
563,0.6766,0.13202499999999995,0.0,-0.46601022533611075,0.5339897746638897
479,3.2117,0.935225,0.0,-0.5488518805635009,0.45114811943649913
43,354.7673,10.02207500000003,0.0,-0.37894098776949786,0.6210590122305022
